sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end
101,1,19,categorization,0,bathroom,sun_anhioqovhscjqqwb.jpg,89,83.33,1.05,694542.5044898,694543.121685,74,694542.5836585,694543.1267116,694544.1684113
101,2,19,categorization,0,bathroom,sun_atstyziqcmkahyxk.jpg,101,83.33,0.766666666666667,694544.1743982,694544.7696916,74,694544.253658,694544.7752507,694545.533592
101,3,19,categorization,0,kitchen,sun_aadbddgrdsjugojn.jpg,12,83.33,1.56666666666667,694545.5383487,694546.3857331,70,694545.6175053,694546.39087,694547.9492133
101,4,19,categorization,0,kitchen,sun_agzzivivdpnawacl.jpg,37,83.33,1.2,694547.9546246,694548.5057413,70,694548.0340056,694548.5109768,694549.7026555
101,5,19,categorization,0,bathroom,sun_ausgutylgojavyoq.jpg,103,83.33,1.08333333333333,694549.7089262,694550.3057245,74,694549.788183,694550.3114153,694551.3864245
101,6,19,categorization,0,bathroom,sun_aovflwamhlwzwvxs.jpg,92,83.33,1.18333333333333,694551.3922326,694551.9782735,74,694551.4714005,694551.9828465,694553.1578544
101,7,19,categorization,0,kitchen,sun_aehawpgmrlhlvcow.jpg,28,83.33,1.81666666666667,694553.1627186,694553.8504515,70,694553.241879,694553.8548944,694555.6632353
101,8,19,categorization,0,bathroom,sun_abtukhmkjdzyfxhr.jpg,68,83.33,1.66666666666667,694555.668905,694556.1943339,74,694555.7478762,694556.1990478,694557.8573943
101,9,19,categorization,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,83.33,1.55,694557.8623545,694558.5062708,70,694557.9425159,694558.5110603,694560.0527344
101,10,19,categorization,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,83.33,1.75,694560.0577425,694560.8257236,70,694560.136849,694560.8305182,694562.5722344
101,11,19,categorization,0,kitchen,sun_abpwyqmlzafvklqo.jpg,19,83.33,0.916666666666667,694562.5778544,694563.3697218,70,694562.6571521,694563.3750984,694564.283445
101,12,19,categorization,0,kitchen,labelme_rykdqxenmhulbdn.jpg,11,83.33,0.783333333333333,694564.2890559,694565.0262987,70,694564.3684551,694565.0310146,694565.8060219
101,13,19,categorization,0,kitchen,sun_agubuxuukhzyzpdp.jpg,36,83.33,1.33333333333333,694565.811252,694566.4105635,70,694565.8905958,694566.415657,694567.7406686
101,14,19,categorization,0,kitchen,sun_aeqbewejiovwrhhc.jpg,30,83.33,1.06666666666667,694567.7455831,694568.266399,70,694567.8247438,694568.2712071,694569.329549
101,15,19,categorization,0,bathroom,sun_agyqfjcfkdcydepw.jpg,77,83.33,1.56666666666667,694569.3349946,694569.9865105,74,694569.4140885,694569.9914803,694571.5498223
101,16,19,categorization,0,kitchen,sun_abrcnpqqhmjwekyf.jpg,20,83.33,0.883333333333333,694571.55648,694572.129732,70,694571.6356371,694572.1347466,694573.0097536
101,17,19,categorization,0,kitchen,sun_ahdycvpopffkzzsu.jpg,38,83.33,0.716666666666667,694573.0144192,694573.7057224,70,694573.0934644,694573.7114168,694574.4197578
101,18,19,categorization,0,kitchen,sun_aqeaevwwwjoqhzvl.jpg,51,83.33,1,694574.4247373,694575.0416677,70,694574.5042403,694575.046522,694576.0381967
101,19,19,categorization,0,bathroom,sun_acsgbuurtwghzjel.jpg,71,83.33,0.983333333333333,694576.0439441,694576.5697298,74,694576.1229692,694576.5747987,694577.5498063
101,20,19,categorization,0,kitchen,sun_ajcbwwvdlsvjyzje.jpg,44,83.33,1.1,694577.5550252,694578.2257337,70,694577.6350977,694578.2306758,694579.3223513
101,21,19,categorization,0,bathroom,sun_ammzpemadwrjdfzl.jpg,87,83.33,1.03333333333333,694579.3273221,694579.8017585,74,694579.4068044,694579.8069517,694580.8319613
101,22,19,categorization,0,bathroom,sun_aamrfepkhweyewue.jpg,63,83.33,1.33333333333333,694580.8364858,694581.4182628,74,694580.9170497,694581.4227234,694582.7477336
101,23,19,categorization,0,bathroom,sun_auzqhkafidnkrwmo.jpg,104,83.33,1.1,694582.753256,694582.9936814,74,694582.8323583,694582.9994767,694584.0911515
101,24,19,categorization,0,kitchen,sun_aaxxjlsuzvqlgylf.jpg,16,83.33,0.716666666666667,694584.095542,694584.4896579,70,694584.1746316,694584.4946559,694585.2030029
101,25,19,categorization,0,bathroom,sun_aqrpegblszgcoujh.jpg,97,83.33,1.08333333333333,694585.2079492,694585.522376,74,694585.2869547,694585.5268522,694586.6018606
101,26,19,categorization,0,bathroom,sun_aspsyogrekjtfozg.jpg,100,83.33,1.63333333333333,694586.6071891,694587.2817583,74,694586.6862478,694587.2869179,694588.9119245
101,27,19,categorization,0,bathroom,sun_awnqiikzaispgmwo.jpg,106,83.33,1.41666666666667,694588.9168939,694589.4897446,74,694588.9960942,694589.4957895,694590.904136
101,28,19,categorization,0,kitchen,sun_agorklincwxrdtga.jpg,35,83.33,1.91666666666667,694590.9103165,694591.5056848,70,694590.989456,694591.5113996,694593.4197731
101,29,19,categorization,0,kitchen,sun_adgqasybjyktddhj.jpg,25,83.33,1.5,694593.4263497,694593.890342,74,694593.5054492,694593.8947728,694595.3864495
101,30,19,categorization,0,bathroom,sun_avhrdrntsqrjzccq.jpg,105,83.33,1.33333333333333,694595.3913357,694595.8658096,74,694595.4704388,694595.8720223,694597.197034
101,31,19,categorization,0,bathroom,labelme_xbsnnlvmskdknsb.jpg,62,83.33,0.95,694597.2026868,694597.8418106,70,694597.2819316,694597.8469781,694598.7886546
101,32,19,categorization,0,bathroom,sun_aleqenyvunhactkl.jpg,83,83.33,1.16666666666667,694598.7940763,694599.4497583,74,694598.873283,694599.4547953,694600.6131402
101,33,19,categorization,0,bathroom,sun_axyrejkiiaqiurjk.jpg,109,83.33,1.26666666666667,694600.6191661,694601.4423813,74,694600.6982534,694601.4470165,694602.7053609
101,34,19,categorization,0,kitchen,sun_ataniphupyuxeowc.jpg,52,83.33,0.966666666666667,694602.7103952,694603.3457583,70,694602.7894932,694603.351121,694604.3094658
101,35,19,categorization,0,bathroom,sun_apkxzenqapsujocq.jpg,95,83.33,1.36666666666667,694604.3144817,694604.8176844,74,694604.3935658,694604.8229485,694606.1812896
101,36,19,categorization,0,bathroom,sun_axxbkopsgyouuebh.jpg,108,83.33,0.966666666666667,694606.1863641,694606.7303949,74,694606.2655479,694606.7351258,694607.6934694
101,37,19,categorization,0,bathroom,sun_arzkwskvsrwimlwo.jpg,98,83.33,0.9,694607.6987212,694608.2816826,74,694607.7777378,694608.2870194,694609.1786968
101,38,19,categorization,0,bathroom,sun_apynckhmoftszqoq.jpg,96,83.33,1.15,694609.1840615,694609.7545035,74,694609.263173,694609.7589271,694610.9006018
101,39,19,categorization,0,bathroom,sun_acgyywnybuveqsro.jpg,69,83.33,1.18333333333333,694610.9056184,694611.7709834,74,694610.9847649,694611.7757527,694612.9507961
101,40,19,categorization,0,kitchen,sun_auticobqsbwgoppi.jpg,54,83.33,1.86666666666667,694612.9563889,694613.7544794,70,694613.0355597,694613.7590165,694615.6173603
101,41,19,categorization,0,kitchen,sun_aglwoufpxbtxqecp.jpg,34,83.33,1.41666666666667,694615.6219125,694616.2097893,70,694615.7013993,694616.2145427,694617.6228855
101,42,19,categorization,0,kitchen,sun_acfmftudsenhrfhy.jpg,22,83.33,1.35,694617.628774,694618.2258496,70,694617.7079715,694618.2311095,694619.5727871
101,43,19,categorization,0,bathroom,sun_amzlamotzwfkwjco.jpg,88,83.33,1.48333333333333,694619.5782078,694620.570747,74,694619.6576855,694620.5752269,694622.0502384
101,44,19,categorization,0,kitchen,sun_ahpczsiumwwocjkv.jpg,40,83.33,0.75,694622.0551857,694623.0498265,70,694622.1345142,694623.0547086,694623.7963842
101,45,19,categorization,0,bathroom,sun_alkosphxlxwjwgjd.jpg,85,83.33,1.16666666666667,694623.8009555,694624.3857558,74,694623.8804071,694624.3909311,694625.5492769
101,46,19,categorization,0,kitchen,sun_aypmqwcualkenuoe.jpg,60,83.33,1.73333333333333,694625.555472,694626.2098259,70,694625.6348058,694626.2151884,694627.9401959
101,47,19,categorization,0,kitchen,sun_axaiaptzctpidqzg.jpg,58,83.33,0.883333333333333,694627.9451843,694628.4993385,70,694628.0240029,694628.5035808,694629.3785926
101,48,19,categorization,0,bathroom,sun_aoybiabnpadelefl.jpg,93,83.33,0.983333333333333,694629.3846117,694630.0346839,74,694629.4637033,694630.0396635,694631.014673
101,49,19,categorization,0,kitchen,sun_aamedkxepzlwuxes.jpg,13,83.33,0.9,694631.0206939,694631.6663976,70,694631.0995269,694631.6708972,694632.5625752
101,50,19,categorization,0,kitchen,sun_aexklacwqwezaorf.jpg,31,83.33,0.716666666666667,694632.5670426,694633.1546048,70,694632.6461968,694633.1593972,694633.8677437
