sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end
101,1,0,aesthetic,1,kitchen,kitchen_practice2.jpg,117,1500,0.7,690106.9015954,690109.9403238,4,690108.3989412,690109.9504054,690110.6421261
101,2,0,aesthetic,1,bathroom,bathroom_practice5.jpg,115,1500,0.95,690110.6503242,690112.7878724,4,690112.147232,690112.7935125,690113.735233
101,3,0,aesthetic,1,kitchen,kitchen_practice1.jpg,116,1500,1.18333333333333,690113.7417231,690115.8121602,5,690115.2398929,690115.817114,690116.9921565
101,4,0,aesthetic,1,kitchen,kitchen_practice4.jpg,119,1500,1.06666666666667,690116.998067,690118.8523243,6,690118.4941595,690118.8577617,690119.9161485
101,5,0,aesthetic,1,bathroom,bathroom_practice3.jpg,113,1500,0.916666666666667,690119.9241317,690121.0358916,6,NaN,690121.0418635,690121.9503467
101,6,0,aesthetic,1,bathroom,bathroom_practice2.jpg,112,1500,1.78333333333333,690121.9556988,690123.948246,4,690123.4522625,690123.9530176,690125.7280257
101,7,0,aesthetic,1,bathroom,bathroom_practice1.jpg,111,1500,1.41666666666667,690125.7333621,690128.8283941,2,690127.2295843,690128.8333673,690130.2417088
101,8,0,aesthetic,1,kitchen,kitchen_practice3.jpg,118,1500,1.18333333333333,690130.2470534,690132.2038826,5,690131.7431141,690132.2091397,690133.3841469
101,9,0,aesthetic,1,bathroom,bathroom_practice4.jpg,114,1500,1.43333333333333,690133.3888281,690135.2279063,3,690134.884061,690135.2320985,690136.6571032
101,10,0,aesthetic,1,kitchen,kitchen_practice5.jpg,120,1500,0.933333333333333,690136.661414,690138.2199165,5,690138.1567476,690138.2237849,690139.1487912
