sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end
101,1,2,familiarity,0,kitchen,sun_ahpczsiumwwocjkv.jpg,40,1500,1.15,691120.2449462,691122.429734,4,691121.740792,691122.4342944,691123.5759735
101,2,2,familiarity,0,bathroom,sun_aunuadmjocsddsrl.jpg,102,1500,0.916666666666667,691123.5811602,691126.0612351,3,691125.0772171,691126.0669827,691126.975325
101,3,2,familiarity,0,kitchen,sun_amjjdeyrggfqgmom.jpg,49,1500,0.916666666666667,691126.9802307,691130.3571179,3,691128.4761666,691130.362041,691131.270385
101,4,2,familiarity,0,bathroom,sun_arzkwskvsrwimlwo.jpg,98,1500,0.7,691131.2753163,691134.2292196,5,691132.7710713,691134.2351439,691134.9268217
101,5,2,familiarity,0,kitchen,sun_aypmqwcualkenuoe.jpg,60,1500,1.18333333333333,691134.9325902,691137.4059058,2,691136.4286018,691137.4104185,691138.5854282
101,6,2,familiarity,0,kitchen,sun_abdenxonkemggwsq.jpg,17,1500,1.91666666666667,691138.5899799,691141.2538836,5,691140.0859786,691141.2586215,691143.1669662
101,7,2,familiarity,0,kitchen,sun_aggjlwcdjsjcaemh.jpg,33,1500,1.4,691143.1726723,691145.134019,5,691144.6686582,691145.1385489,691146.5302243
101,8,2,familiarity,0,bathroom,sun_agyqfjcfkdcydepw.jpg,77,1500,0.85,691146.5356114,691148.3018672,1,691148.0315029,691148.3065173,691149.1481928
101,9,2,familiarity,0,bathroom,sun_aclfzgynxzxlbepz.jpg,70,1500,0.883333333333333,691149.1535352,691151.598044,3,691150.6495234,691151.6031609,691152.4781723
101,10,2,familiarity,0,bathroom,sun_awnqiikzaispgmwo.jpg,106,1500,1.06666666666667,691152.4830972,691154.4532783,3,691153.9799708,691154.4589774,691155.5173183
101,11,2,familiarity,0,bathroom,sun_anlddfvefwvocyae.jpg,90,1500,0.75,691155.522917,691157.9252563,4,691157.0186361,691157.9311939,691158.6728685
101,12,2,familiarity,0,kitchen,sun_aapllqyqlykszopd.jpg,15,1500,1.35,691158.6783523,691161.4218221,4,691160.1753688,691161.4263828,691162.7680582
101,13,2,familiarity,0,bathroom,sun_ambriybtogmepttm.jpg,86,1500,1.43333333333333,691162.7729667,691164.2458844,1,NaN,691164.2508291,691165.6758398
101,14,2,familiarity,0,kitchen,sun_ataniphupyuxeowc.jpg,52,1500,0.866666666666667,691165.681066,691167.926072,5,691167.1768503,691167.9310239,691168.789386
101,15,2,familiarity,0,kitchen,sun_awcpdzzznmweyyhv.jpg,57,1500,1.61666666666667,691168.7946577,691171.4219417,5,691170.2904244,691171.4273936,691173.0357343
101,16,2,familiarity,0,bathroom,sun_aamrfepkhweyewue.jpg,63,1500,0.816666666666667,691173.0406534,691175.3977023,3,691174.5360248,691175.4021008,691176.2104479
101,17,2,familiarity,0,bathroom,sun_aqrpegblszgcoujh.jpg,97,1500,1.1,691176.2153342,691178.2139462,2,691177.7112147,691178.2183615,691179.3100401
101,18,2,familiarity,0,bathroom,sun_akbyysnpwewzraii.jpg,82,1500,1.3,691179.315034,691182.1011988,4,691180.8118911,691182.1065053,691183.3981815
101,19,2,familiarity,0,bathroom,sun_avhrdrntsqrjzccq.jpg,105,1500,1.35,691183.4031093,691185.7739509,2,691184.8992795,691185.7783159,691187.1199933
101,20,2,familiarity,0,kitchen,sun_aglwoufpxbtxqecp.jpg,34,1500,1.21666666666667,691187.1249428,691189.189197,5,691188.6209074,691189.1946732,691190.4030174
101,21,2,familiarity,0,kitchen,sun_auaiucuqpdausiva.jpg,53,1500,0.916666666666667,691190.4087529,691192.9972345,2,691191.9045509,691193.0029232,691193.9112665
101,22,2,familiarity,0,kitchen,sun_ahdycvpopffkzzsu.jpg,38,1500,1.11666666666667,691193.9160003,691197.4852209,5,691195.4117514,691197.4906378,691198.5989836
101,23,2,familiarity,0,bathroom,sun_aavhrsfjbserjtht.jpg,65,1500,1.01666666666667,691198.6038315,691200.6618908,3,691200.0997314,691200.6665036,691201.6748501
101,24,2,familiarity,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,1500,1.51666666666667,691201.6795415,691204.8933303,1,691203.1753002,691204.898751,691206.4070931
101,25,2,familiarity,0,kitchen,sun_avszsnwsbuqfgzbn.jpg,55,1500,1.95,691206.4121866,691209.3573118,1,691207.9080582,691209.3625719,691211.3042725
