sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end,trial_accuracy,RT
101,1,0,typicality,1,bathroom,bathroom_practice3.jpg,113,1500,0.766666666666667,682355.1584734,682363.7140747,4,682356.6557196,682363.725742,682364.4841341,NaN,8.5556012999732
101,2,0,typicality,1,bathroom,bathroom_practice2.jpg,112,1500,0.9,682364.4927778,682366.7860131,6,682365.9884264,682366.7901443,682367.6818604,NaN,2.29323529999238
101,3,0,typicality,1,kitchen,kitchen_practice2.jpg,117,1500,1.51666666666667,682367.6876063,682370.5941201,2,682369.1828508,682370.5984215,682372.1068101,NaN,2.90651380002964
101,4,0,typicality,1,bathroom,bathroom_practice1.jpg,111,1500,1.15,682372.1121688,682376.2981778,6,682373.6073518,682376.3024277,682377.4441372,NaN,4.18600900005549
101,5,0,typicality,1,kitchen,kitchen_practice3.jpg,118,1500,1.83333333333333,682377.4510767,682379.690114,5,682378.9463437,682379.695199,682381.5203182,NaN,2.23903729999438
101,6,0,typicality,1,kitchen,kitchen_practice4.jpg,119,1500,1.45,682381.5248379,682383.4657832,2,682383.020239,682383.4701614,682384.9118355,NaN,1.94094530004077
101,7,0,typicality,1,kitchen,kitchen_practice5.jpg,120,1500,0.716666666666667,682384.9159175,682388.5462761,4,682386.411506,682388.5505485,682389.2588901,NaN,3.63035859994125
101,8,0,typicality,1,bathroom,bathroom_practice5.jpg,115,1500,1.65,682389.2631729,682393.1223315,4,682390.7585711,682393.126217,682394.7678912,NaN,3.85915860009845
101,9,0,typicality,1,bathroom,bathroom_practice4.jpg,114,1500,0.816666666666667,682394.7718124,682397.9381946,4,682396.2672049,682397.9419692,682398.7503068,NaN,3.16638220008463
101,10,0,typicality,1,kitchen,kitchen_practice1.jpg,116,1500,0.8,682398.7542377,682401.5137333,3,682400.2495261,682401.5181284,682402.3098029,NaN,2.75949560001027
101,1,1,typicality,0,kitchen,sun_auaiucuqpdausiva.jpg,53,1500,1.11666666666667,682409.7878106,682412.5461455,3,682411.2828328,682412.5512004,682413.6595383,NaN,2.75833490001969
101,2,1,typicality,0,bathroom,sun_anltpptcpfdrhlks.jpg,91,1500,1.81666666666667,682413.6643492,682415.9861234,4,682415.1597231,682415.9898349,682417.7981757,NaN,2.32177420007065
101,3,1,typicality,0,bathroom,sun_auzqhkafidnkrwmo.jpg,104,1500,0.733333333333333,682417.802728,682421.2098196,3,682419.2981506,682421.2139124,682421.938918,NaN,3.40709160000551
101,4,1,typicality,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,1500,1.65,682421.9429599,682424.6498519,4,682423.4386452,682424.6541256,682426.2958004,NaN,2.70689199992921
101,5,1,typicality,0,kitchen,sun_aegoxogugdkwpmpj.jpg,27,1500,0.933333333333333,682426.2998532,682427.617805,5,NaN,682427.6217278,682428.5467365,NaN,1.31795180006884
101,6,1,typicality,0,kitchen,sun_avszsnwsbuqfgzbn.jpg,55,1500,1.95,682428.5509586,682431.1057337,3,682430.0469298,682431.1100462,682433.051722,NaN,2.55477509996854
101,7,1,typicality,0,bathroom,sun_ausgutylgojavyoq.jpg,103,1500,1.71666666666667,682433.0562546,682435.0264017,2,682434.5513584,682435.0304202,682436.7387613,NaN,1.97014710004441
101,8,1,typicality,0,kitchen,sun_anbcmfjhobvmedkq.jpg,50,1500,0.816666666666667,682436.742571,682439.3462023,3,682438.2377935,682439.3500901,682440.1584302,NaN,2.6036313000368
101,9,1,typicality,0,bathroom,sun_ajlpekbqvytdohqb.jpg,81,1500,0.866666666666667,682440.1626538,682442.0978392,6,682441.6579141,682442.1021797,682442.960521,NaN,1.93518540007062
101,10,1,typicality,0,bathroom,labelme_xbsnnlvmskdknsb.jpg,62,1500,1.21666666666667,682442.9650799,682444.185843,5,NaN,682444.1898015,682445.3981395,NaN,1.22076309996191
