sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,2,familiarity,0,kitchen,sun_ajkqhtgcbgpcwrwn.tif,206,1.5,0,1.81666666666667,1490658.9901957,1490661.3631026,54,NaN,1490660.4931056,1490661.369145,1490663.1841496,NaN,NaN
120,2,2,familiarity,0,kitchen,sun_ayqymgxqhxxiykiw.tif,219,1.5,0,0.816666666666667,1490663.1901473,1490665.2498165,51,NaN,1490664.693555,1490665.2560817,1490666.0710872,NaN,NaN
120,3,2,familiarity,0,kitchen,sun_ahpczsiumwwocjkv.tif,202,1.5,0,0.9,1490666.0772498,1490668.4288629,51,NaN,1490667.5803839,1490668.4343635,1490669.3327096,NaN,NaN
120,4,2,familiarity,0,kitchen,sun_acfmftudsenhrfhy.tif,184,1.5,0,0.933333333333333,1490669.3395185,1490672.0219728,53,NaN,1490670.8431862,1490672.0274434,1490672.9591169,NaN,NaN
120,5,2,familiarity,0,kitchen,sun_afuyedyxivkhecmu.tif,195,1.5,0,1.48333333333333,1490672.9652344,1490675.643948,50,NaN,1490674.4681816,1490675.6504259,1490677.1320976,NaN,NaN
120,6,2,familiarity,0,kitchen,sun_aymvwlarqodbwuoc.tif,217,1.5,0,1.48333333333333,1490677.1382109,1490679.1345693,50,NaN,1490678.6413066,1490679.1399513,1490680.621624,NaN,NaN
120,7,2,familiarity,0,kitchen,sun_aenotlpyftoioydp.tif,192,1.5,0,1.43333333333333,1490680.6278441,1490683.1021313,53,NaN,1490682.131005,1490683.1082176,1490684.5398899,NaN,NaN
120,8,2,familiarity,0,kitchen,sun_awcpdzzznmweyyhv.tif,215,1.5,0,0.733333333333333,1490684.5458585,1490686.9954631,51,NaN,1490686.0488923,1490687.0009854,1490687.7326575,NaN,NaN
120,9,2,familiarity,0,kitchen,sun_abpwyqmlzafvklqo.tif,182,1.5,0,0.966666666666667,1490687.7387842,1490690.2188878,54,NaN,1490689.2428873,1490690.2244641,1490691.1894725,NaN,NaN
120,10,2,familiarity,0,kitchen,sun_ajcbwwvdlsvjyzje.tif,205,1.5,0,0.916666666666667,1490691.1955398,1490694.2072461,55,NaN,1490692.6980177,1490694.2126455,1490695.127652,NaN,NaN
120,11,2,familiarity,0,kitchen,sun_abdxkyyxwfskuaqb.tif,180,1.5,0,1.03333333333333,1490695.133586,1490697.3402562,50,NaN,1490696.6372243,1490697.3458393,1490698.3775112,NaN,NaN
120,12,2,familiarity,0,kitchen,sun_abdenxonkemggwsq.tif,179,1.5,0,0.733333333333333,1490698.3835366,1490700.7261008,52,NaN,1490699.8873263,1490700.7315191,1490701.4631924,NaN,NaN
120,13,2,familiarity,0,kitchen,sun_aehawpgmrlhlvcow.tif,191,1.5,0,1.13333333333333,1490701.4695699,1490703.4684263,51,NaN,1490702.9727602,1490703.4748214,1490704.6064944,NaN,NaN
120,14,2,familiarity,0,kitchen,sun_akchetnepxlcxhsu.tif,207,1.5,0,0.883333333333333,1490704.6127743,1490707.2801319,51,NaN,1490706.1167807,1490707.2860694,1490708.1677421,NaN,NaN
120,15,2,familiarity,0,kitchen,sun_aarfiyshqohlwkmo.tif,177,1.5,0,1.85,1490708.1736151,1490710.7508906,51,NaN,1490709.6771122,1490710.7561818,1490712.6045238,NaN,NaN
120,16,2,familiarity,0,kitchen,sun_aeqdocilnnpuvuhx.tif,193,1.5,0,0.733333333333333,1490712.610706,1490715.842372,53,NaN,1490714.1136228,1490715.8477716,1490716.5794447,NaN,NaN
120,17,2,familiarity,0,kitchen,sun_auaiucuqpdausiva.tif,211,1.5,0,1.95,1490716.5857592,1490719.4261076,51,NaN,1490718.0887817,1490719.4323235,1490721.3806623,NaN,NaN
120,18,2,familiarity,0,kitchen,sun_avszsnwsbuqfgzbn.tif,214,1.5,0,1.1,1490721.3879983,1490723.856223,50,NaN,1490722.8914237,1490723.8617644,1490724.9601051,NaN,NaN
120,19,2,familiarity,0,kitchen,sun_aaxxjlsuzvqlgylf.tif,178,1.5,0,1.31666666666667,1490724.9662561,1490727.2522157,51,NaN,1490726.4692571,1490727.2577264,1490728.5727319,NaN,NaN
120,20,2,familiarity,0,kitchen,sun_aqeaevwwwjoqhzvl.tif,210,1.5,0,1.78333333333333,1490728.5794858,1490730.8026502,51,NaN,1490730.0823032,1490730.8081954,1490732.5898689,NaN,NaN
120,21,2,familiarity,0,kitchen,sun_auticobqsbwgoppi.tif,213,1.5,0,1.33333333333333,1490732.5961014,1490735.2868607,54,NaN,1490734.099373,1490735.2931399,1490736.6248136,NaN,NaN
120,22,2,familiarity,0,kitchen,sun_axyyrmzcupyhlivc.tif,216,1.5,0,0.95,1490736.6311663,1490738.9110407,53,NaN,1490738.1345002,1490738.91645,1490739.86479,NaN,NaN
120,23,2,familiarity,0,kitchen,sun_amjjdeyrggfqgmom.tif,209,1.5,0,1.93333333333333,1490739.8711585,1490742.2210339,50,NaN,1490741.3744004,1490742.2269588,1490744.1586325,NaN,NaN
120,24,2,familiarity,0,kitchen,sun_ahywdevtimnqcsln.tif,204,1.5,0,1.28333333333333,1490744.1645918,1490746.3813849,51,NaN,1490745.6676274,1490746.3869295,1490747.6686031,NaN,NaN
120,25,2,familiarity,0,kitchen,sun_admlmbcdswaszruo.tif,189,1.5,0,1.43333333333333,1490747.6749864,1490750.0259434,52,NaN,1490749.178178,1490750.0319549,1490751.4636279,NaN,NaN
