sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask_dur,jitter,stim_time,time_of_resp,trial_response,blank_time,mask_time,fix_time,jit_onset,trial_end
102,1,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.56666666666667,351772.241971,351773.0929541,70,351772.277615,351772.3123958,351772.3447041,351773.1034708,351774.6685716
102,2,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.26666666666667,351774.6771321,351775.364537,74,351774.7128591,351774.7468264,351774.7794316,351775.3705716,351776.635575
102,3,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.08333333333333,351776.6432461,351777.6840715,70,351776.6790108,351776.7128945,351776.7456241,351777.6901635,351778.7718339
102,4,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.916666666666667,351778.7765043,351779.4286106,70,351778.8121045,351778.8457104,351778.8786272,351779.4334934,351780.3484977
102,5,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.716666666666667,351780.3529998,351781.2452722,70,351780.3895113,351780.4230831,351780.455448,351781.2498945,351781.9648985
102,6,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.783333333333333,351781.9692904,351782.7405443,74,351782.0054581,351782.0394991,351782.0724739,351782.7452187,351783.5268906
102,7,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.33333333333333,351783.5319968,351784.2606204,74,351783.56754,351783.6017798,351783.6342294,351784.265033,351785.5967038
102,8,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.716666666666667,351785.6015023,351786.4286325,74,351785.6369499,351785.6708547,351785.7036341,351786.4335575,351787.1485619
102,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.7,351787.1551807,351788.4293777,74,351787.1908053,351787.2247754,351787.2577269,351788.4337829,351790.132121
102,10,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.96666666666667,351790.1364971,351791.3005932,70,351790.1723035,351790.2060469,351790.2390044,351791.3063343,351793.2713394
