sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end
101,1,0,categorization,1,kitchen,kitchen_practice2.jpg,117,83,0.833333333333333,614711.3800453,614712.1377448,74,614711.4605081,614712.1485994,614712.973642
101,2,0,categorization,1,kitchen,kitchen_practice5.jpg,120,83,0.933333333333333,614712.9824611,614713.6497572,74,614713.06211,614713.6553803,614714.5804348
101,3,0,categorization,1,bathroom,bathroom_practice2.jpg,112,83,1.3,614714.5869419,614715.3538035,70,614714.6661288,614715.3598008,614716.6515186
101,4,0,categorization,1,bathroom,bathroom_practice4.jpg,114,83,1.15,614716.6572098,614717.2981554,74,614716.7363776,614717.3032199,614718.4449392
101,5,0,categorization,1,kitchen,kitchen_practice3.jpg,118,83,0.783333333333333,614718.4530722,614719.0497103,70,614718.5323814,614719.0574591,614719.8325626
101,6,0,categorization,1,bathroom,bathroom_practice1.jpg,111,83,0.75,614719.8381277,614720.5461529,74,614719.9171814,614720.5513908,614721.2930634
101,7,0,categorization,1,bathroom,bathroom_practice5.jpg,115,83,0.8,614721.298199,614722.4900999,74,614721.3772726,614722.4947802,614723.2864541
101,8,0,categorization,1,kitchen,kitchen_practice4.jpg,119,83,1.48333333333333,614723.2915389,614724.0980649,70,614723.3704966,614724.1026505,614725.5776581
101,9,0,categorization,1,kitchen,kitchen_practice1.jpg,116,83,1.5,614725.5844951,614726.450013,70,614725.6634082,614726.4616803,614727.9533756
101,10,0,categorization,1,bathroom,bathroom_practice3.jpg,113,83,1.56666666666667,614727.9578096,614728.8982001,70,614728.0359523,614728.9017505,614730.460089
