sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end
101,1,15,categorization,0,bathroom,sun_anhioqovhscjqqwb.jpg,89,83.33,0.85,694085.7245897,694086.2979774,74,694085.8039423,694086.3026248,694087.1442998
101,2,15,categorization,0,bathroom,sun_atstyziqcmkahyxk.jpg,101,83.33,1.85,694087.1501105,694087.7050175,74,694087.2291547,694087.7097616,694089.5514371
101,3,15,categorization,0,kitchen,sun_aadbddgrdsjugojn.jpg,12,83.33,1.36666666666667,694089.5564171,694090.2658446,70,694089.6355638,694090.2704357,694091.6287772
101,4,15,categorization,0,kitchen,sun_agzzivivdpnawacl.jpg,37,83.33,1.1,694091.6340061,694092.8171018,70,694091.7131216,694092.8227751,694093.9144503
101,5,15,categorization,0,bathroom,sun_ausgutylgojavyoq.jpg,103,83.33,0.866666666666667,694093.9206657,694094.6896919,70,694094.000204,694094.694155,694095.5525035
101,6,15,categorization,0,bathroom,sun_aovflwamhlwzwvxs.jpg,92,83.33,0.983333333333333,694095.5584268,694096.4341675,74,694095.6374451,694096.439184,694097.4141929
101,7,15,categorization,0,kitchen,sun_aehawpgmrlhlvcow.jpg,28,83.33,1.76666666666667,694097.4192452,694098.1530296,70,694097.4983107,694098.157728,694099.916072
101,8,15,categorization,0,bathroom,sun_abtukhmkjdzyfxhr.jpg,68,83.33,1.46666666666667,694099.9220129,694100.5057134,74,694100.0014079,694100.5100585,694101.968402
101,9,15,categorization,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,83.33,1.06666666666667,694101.9730774,694102.6818608,70,694102.0522774,694102.6862842,694103.7446243
101,10,15,categorization,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,83.33,1.46666666666667,694103.7494012,694104.441213,70,694103.8284917,694104.4463149,694105.9046565
101,11,15,categorization,0,kitchen,sun_abpwyqmlzafvklqo.jpg,19,83.33,1.35,694105.9100978,694106.5218489,70,694105.9894691,694106.5264402,694107.8681199
101,12,15,categorization,0,kitchen,labelme_rykdqxenmhulbdn.jpg,11,83.33,0.783333333333333,694107.8738126,694108.4178464,70,694107.952925,694108.4225211,694109.1975313
101,13,15,categorization,0,kitchen,sun_agubuxuukhzyzpdp.jpg,36,83.33,0.883333333333333,694109.2024139,694109.9850559,70,694109.2817098,694109.9909592,694110.8661004
