sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
101,1,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.0833333333333333,0.0666666666666667,1.21666666666667,548.955536416,550.617990708,9,549.038021,549.099094041,550.636660583,551.846855875,NaN,NaN
101,2,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.0833333333333333,0.0666666666666667,1.36666666666667,551.902459791,553.044310375,9,551.9888815,552.052808125,553.096884208,554.457090708,NaN,NaN
101,3,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.0833333333333333,0.0666666666666667,1.85,554.504659125,555.206154833,13,554.597188833,554.655908875,555.238344791,557.081992208,NaN,NaN
101,4,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.0833333333333333,0.0666666666666667,1.55,557.107705416,558.770239791,9,557.194453583,557.258832166,558.778279625,560.321782708,NaN,NaN
101,5,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.0833333333333333,0.0666666666666667,1.48333333333333,560.356654125,561.130922333,13,560.446438041,560.507096416,561.169981208,562.647611208,NaN,NaN
101,6,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.0833333333333333,0.0666666666666667,1.15,562.674768125,563.32027925,13,562.760067416,562.8252435,563.349883208,564.493393208,NaN,NaN
101,7,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.0833333333333333,0.0666666666666667,0.733333333333333,564.504823416,565.02161125,13,564.588402375,564.655321458,565.045780625,565.772518833,NaN,NaN
101,8,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.0833333333333333,0.0666666666666667,1.6,565.78319825,566.426078041,9,565.86900325,565.933679208,566.436421708,568.029801208,NaN,NaN
101,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.0833333333333333,0.0666666666666667,0.716666666666667,568.046502208,569.391118375,13,568.129848666,568.196365958,569.421383666,570.131390333,NaN,NaN
101,10,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.0833333333333333,0.0666666666666667,1.21666666666667,570.136966791,571.330505375,13,570.215344416,570.276282208,571.345354125,572.555401708,NaN,NaN
101,1,1,categorization,0,kitchen,SHINEd_sun_avszsnwsbuqfgzbn.tif,105,0.0833333333333333,0.0666666666666667,1.23333333333333,584.456435958,585.458616583,9,584.535508708,584.595810583,585.464553666,586.691256708,NaN,NaN
101,2,1,categorization,0,bathroom,SHINEd_sun_aavhrsfjbserjtht.tif,13,0.0833333333333333,0.0666666666666667,0.783333333333333,586.707289791,587.497360958,13,586.790502708,586.856380625,587.512061125,588.288776666,NaN,NaN
101,3,1,categorization,0,kitchen,SHINEd_labelme_rykdqxenmhulbdn.tif,63,0.0833333333333333,0.0666666666666667,0.75,588.304767916,589.754525208,9,588.389059958,588.454158916,589.7731965,590.516536125,NaN,NaN
