sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter,stim_time,time_of_resp,trial_response,fix_time,jit_onset,trial_end,trial_accuracy,RT
101,1,0,categorization,1,kitchen,kitchen_practice2.jpg,117,83,0.833333333333333,617042.6085749,617046.0448721,74,617042.6896864,617046.0567517,617046.8817946,0,3.4362972000381
101,2,0,categorization,1,kitchen,kitchen_practice5.jpg,120,83,0.933333333333333,617046.8903083,617047.6121413,70,617046.9697512,617047.6191318,617048.5441847,1,0.721832999959588
101,3,0,categorization,1,bathroom,bathroom_practice2.jpg,112,83,1.3,617048.551159,617049.140788,70,617048.6304268,617049.1469123,617050.4386313,0,0.589628999936394
101,4,0,categorization,1,bathroom,bathroom_practice4.jpg,114,83,1.15,617050.4443197,617050.5019521,74,NaN,617050.5072279,617051.6489383,1,0.0576323999557644
101,5,0,categorization,1,kitchen,kitchen_practice3.jpg,118,83,0.783333333333333,617051.657621,617051.748779,70,617051.7368976,617051.7584097,617052.5335602,1,0.0911580000538379
101,6,0,categorization,1,bathroom,bathroom_practice1.jpg,111,83,0.75,617052.5392806,617052.5395032,70,NaN,617052.5452147,617053.286889,0,0.000222599948756397
101,7,0,categorization,1,bathroom,bathroom_practice5.jpg,115,83,0.8,617053.2920164,617053.2922525,74,NaN,617053.2983734,617054.0900455,1,0.000236099935136735
101,8,0,categorization,1,kitchen,kitchen_practice4.jpg,119,83,1.48333333333333,617054.0942371,617055.5661199,74,617054.1726387,617055.569802,617057.0448064,0,1.47188279998954
101,9,0,categorization,1,kitchen,kitchen_practice1.jpg,116,83,1.5,617057.0490653,617057.5923567,70,617057.1273782,617057.5961188,617059.0878568,1,0.543291399953887
101,10,0,categorization,1,bathroom,bathroom_practice3.jpg,113,83,1.56666666666667,617059.0922576,617059.3728689,74,617059.1703758,617059.3781501,617060.9364908,1,0.280611299909651
101,1,1,categorization,0,bathroom,sun_aleqenyvunhactkl.jpg,83,83,0.983333333333333,617067.6713018,617067.9168691,74,617067.7494127,617067.9224116,617068.8974194,1,0.245567300007679
101,2,1,categorization,0,kitchen,sun_aypmqwcualkenuoe.jpg,60,83,1.76666666666667,617068.9028133,617069.532895,70,617068.9809855,617069.5375445,617071.2958823,1,0.630081699928269
101,3,1,categorization,0,bathroom,sun_agrwbmhcpmfuwmsg.jpg,76,83,0.95,617071.3001686,617071.8698668,74,617071.3781288,617071.8735701,617072.8152444,1,0.56969819997903
101,4,1,categorization,0,kitchen,sun_auticobqsbwgoppi.jpg,54,83,0.933333333333333,617072.8196816,617073.4055752,70,617072.8977874,617073.4098884,617074.3348954,1,0.58589360001497
101,5,1,categorization,0,kitchen,sun_amjjdeyrggfqgmom.jpg,49,83,0.9,617074.3388534,617075.102817,70,617074.4169025,617075.1064481,617075.9981217,1,0.763963600038551
101,6,1,categorization,0,kitchen,sun_axaiaptzctpidqzg.jpg,58,83,1.75,617076.0021226,617076.5888758,70,617076.0802958,617076.5935702,617078.3352434,1,0.58675320004113
101,7,1,categorization,0,kitchen,sun_aeikbkmhphqzxdkv.jpg,29,83,0.95,617078.3390797,617079.0712539,70,617078.4170919,617079.0749437,617080.0166182,1,0.732174200005829
101,8,1,categorization,0,kitchen,sun_aaxxjlsuzvqlgylf.jpg,16,83,1.31666666666667,617080.0205635,617080.7977552,74,617080.0987333,617080.8012856,617082.1096241,0,0.777191699948162
101,9,1,categorization,0,kitchen,sun_aiffeoqzngslhzfi.jpg,43,83,1.88333333333333,617082.1139023,617082.7893912,70,617082.191881,617082.7928914,617084.6678978,1,0.675488900044002
101,10,1,categorization,0,bathroom,sun_apkxzenqapsujocq.jpg,95,83,1.41666666666667,617084.6719758,617085.260933,74,617084.7501384,617085.2659738,617086.674315,1,0.588957200059667
101,11,1,categorization,0,kitchen,sun_acfluyeqiftljamq.jpg,21,83,0.733333333333333,617086.6782402,617087.294173,70,617086.756407,617087.2978837,617088.0228915,1,0.615932799992152
101,12,1,categorization,0,bathroom,sun_apynckhmoftszqoq.jpg,96,83,0.933333333333333,617088.027325,617088.8129374,74,617088.1055421,617088.817857,617089.7428635,1,0.785612399922684
101,13,1,categorization,0,bathroom,sun_azqyogdvyhahyram.jpg,110,83,1.78333333333333,617089.7472218,617090.4223972,74,617089.8251568,617090.4259942,617092.201001,1,0.675175399985164
101,14,1,categorization,0,kitchen,sun_ahpczsiumwwocjkv.jpg,40,83,1.45,617092.2050561,617092.8449118,70,617092.2833103,617092.8512083,617094.2928806,1,0.639855699962936
101,15,1,categorization,0,kitchen,sun_ahdycvpopffkzzsu.jpg,38,83,1.26666666666667,617094.2972738,617094.7329304,74,617094.3757796,617094.7379677,617095.9963086,0,0.435656599933282
101,16,1,categorization,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,83,1.18333333333333,617096.0002333,617096.7248531,70,617096.0782376,617096.7297579,617097.904763,1,0.72461979999207
101,17,1,categorization,0,bathroom,sun_ahqjwnzgolcaoidx.jpg,79,83,1.2,617097.9090091,617098.7009232,74,617097.9873075,617098.705843,617099.8975144,1,0.791914099943824
101,18,1,categorization,0,kitchen,sun_aexklacwqwezaorf.jpg,31,83,1.11666666666667,617099.901399,617100.5888818,70,617099.9796044,617100.5939657,617101.7023034,1,0.687482799985446
101,19,1,categorization,0,kitchen,sun_ahvszpwjtodgwusx.jpg,41,83,1.96666666666667,617101.70645,617102.372938,70,617101.7847396,617102.3776881,617104.3360294,1,0.666487999958917
101,20,1,categorization,0,bathroom,sun_auzqhkafidnkrwmo.jpg,104,83,0.9,617104.3403179,617104.9908481,74,617104.4187296,617104.9945078,617105.8861809,1,0.650530200102367
101,21,1,categorization,0,kitchen,sun_abdxkyyxwfskuaqb.jpg,18,83,1.11666666666667,617105.8903248,617106.5089382,70,617105.9683655,617106.513079,617107.6214199,1,0.618613399914466
101,22,1,categorization,0,kitchen,sun_aglwoufpxbtxqecp.jpg,34,83,0.783333333333333,617107.6252688,617108.2298127,70,617107.7035671,617108.2337811,617109.0087888,1,0.604543900000863
101,23,1,categorization,0,bathroom,sun_apeeialkgkuxddgh.jpg,94,83,1.15,617109.0127978,617109.606711,74,617109.0909018,617109.6102166,617110.7518884,1,0.593913199962117
101,24,1,categorization,0,bathroom,sun_aamrfepkhweyewue.jpg,63,83,1.2,617110.75597,617111.2470809,70,617110.834185,617111.2506023,617112.4422769,0,0.491110899951309
101,25,1,categorization,0,kitchen,sun_aggjlwcdjsjcaemh.jpg,33,83,1.63333333333333,617112.4467591,617113.0289294,70,617112.5249058,617113.0335953,617114.6585998,1,0.582170300069265
101,26,1,categorization,0,kitchen,sun_aamedkxepzlwuxes.jpg,13,83,0.766666666666667,617114.6629757,617115.2449063,70,617114.7411497,617115.2499697,617116.0083109,1,0.581930599990301
101,27,1,categorization,0,bathroom,sun_acsgbuurtwghzjel.jpg,71,83,0.866666666666667,617116.0124037,617116.5888445,74,617116.0906038,617116.5938206,617117.4521599,1,0.576440799981356
101,28,1,categorization,0,bathroom,sun_axxbkopsgyouuebh.jpg,108,83,0.933333333333333,617117.4571226,617118.0049709,74,617117.5352514,617118.0106368,617118.9356432,1,0.547848299960606
