sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
104,1,1,familiarity,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.26666666666667,1393.588641041,1403.268531833,5,NaN,1403.274500375,1403.292968458,1404.553026291,NaN,NaN
104,2,1,familiarity,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,1.76666666666667,1404.572503416,1408.820721666,2,NaN,1408.826295666,1408.844651083,1410.604704666,NaN,NaN
104,3,1,familiarity,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.46666666666667,1410.622921791,1415.316227416,2,NaN,1415.321734333,1415.339936791,1416.799978583,NaN,NaN
104,4,1,familiarity,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,1.28333333333333,1416.818765083,1423.340073666,3,NaN,1423.345688416,1423.364017541,1424.640719083,NaN,NaN
104,5,1,familiarity,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,0.966666666666667,1424.658208833,1430.364647416,4,NaN,1430.370199916,1430.388478083,1431.348483458,NaN,NaN
104,6,1,familiarity,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,0.783333333333333,1431.353558416,1434.68386125,2,NaN,1434.690170125,1434.70858125,1435.4852535,NaN,NaN
104,7,1,familiarity,0,bathroom,sun_acgyywnybuveqsro.tif,128,1.5,0,1.21666666666667,1435.490087041,1439.548635416,1,NaN,1439.554026333,1439.572301208,1440.78233575,NaN,NaN
104,8,1,familiarity,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,1.4,1440.800034541,1443.948412291,1,NaN,1443.953794583,1443.972048333,1445.365438458,NaN,NaN
104,9,1,familiarity,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,1.3,1445.383370291,1449.028075083,1,NaN,1449.033686333,1449.052526875,1450.345904083,NaN,NaN
104,10,1,familiarity,0,bathroom,sun_ahqjwnzgolcaoidx.tif,139,1.5,0,0.95,1450.363396958,1454.172151041,2,NaN,1454.177587666,1454.195929125,1455.139267375,NaN,NaN
104,11,1,familiarity,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,1.96666666666667,1455.143978958,1459.099882833,4,NaN,1459.105576041,1459.123882166,1461.083909833,NaN,NaN
104,12,1,familiarity,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,1.13333333333333,1461.094034875,1464.595660208,1,NaN,1464.601704041,1464.620530875,1465.7472355,NaN,NaN
104,13,1,familiarity,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.933333333333333,1465.75661225,1471.412202208,5,NaN,1471.417634125,1471.436082583,1472.362755875,NaN,NaN
104,14,1,familiarity,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.6,1472.3678405,1477.915782,6,NaN,1477.92203375,1477.940391166,1479.533777916,NaN,NaN
104,15,1,familiarity,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,1.38333333333333,1479.550404375,1483.500597708,3,NaN,1483.506496458,1483.524815583,1484.901535625,NaN,NaN
104,16,1,familiarity,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.58333333333333,1484.920596583,1489.468131916,2,NaN,1489.47376375,1489.49218525,1491.068894541,NaN,NaN
104,17,1,familiarity,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,0.966666666666667,1491.080068916,1495.07599475,1,NaN,1495.081453875,1495.099874541,1496.059878916,NaN,NaN
104,18,1,familiarity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0.983333333333333,1496.064801375,1500.31593775,1,NaN,1500.32183725,1500.340136291,1501.316807916,NaN,NaN
104,19,1,familiarity,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,0.8,1501.321708125,1508.04386475,1,NaN,1508.050119416,1508.068692583,1508.862032541,NaN,NaN
104,20,1,familiarity,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,0.7,1508.867515583,1513.699971166,7,NaN,1513.705530083,1513.723847125,1514.41718675,NaN,NaN
104,21,1,familiarity,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,0.716666666666667,1514.422555458,1518.772177,2,NaN,1518.777689125,1518.7960895,1519.506094541,NaN,NaN
104,22,1,familiarity,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.76666666666667,1519.510922958,1524.763911791,3,NaN,1524.7693305,1524.787539708,1526.5475755,NaN,NaN
104,23,1,familiarity,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,1.7,1526.565598833,1531.147693041,4,NaN,1531.153586375,1531.171858208,1532.865250583,NaN,NaN
104,24,1,familiarity,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.38333333333333,1532.882337666,1536.540079083,2,NaN,1536.547598958,1536.565990083,1537.942705,NaN,NaN
104,25,1,familiarity,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,0.766666666666667,1537.960233125,1542.2757895,2,NaN,1542.281431208,1542.299809666,1543.059816166,NaN,NaN
