sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask_dur,jitter,stim_time,time_of_resp,trial_response,blank_time,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
105,1,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.03333333333333,526346.2043095,526348.5528726,70,526346.2402304,526346.2771311,526346.3575489,526348.5874989,526349.6192156,0,2.34856309997849
105,2,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.91666666666667,526349.6276795,526351.1565626,70,526349.6638462,526349.6975322,526349.780656,526351.1650282,526353.0800683,0,1.52888310002163
105,3,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.0333333333333333,0.0333333333333333,0.0833333333333333,0.9,526353.0882154,526354.3703439,70,526353.1246107,526353.1580173,526353.2410525,526354.380321,526355.2787049,0,1.28212850005366
105,4,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.26666666666667,526355.2842226,526356.4720692,74,526355.3204449,526355.3544207,526355.4371104,526356.4799345,526357.7449849,1,1.18784659996163
105,5,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.16666666666667,526357.7529702,526358.7650375,74,526357.7892269,526357.8227772,526357.9065498,526358.7765882,526359.9417329,1,1.01206729991827
105,6,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.0333333333333333,0.0333333333333333,0.0833333333333333,0.833333333333333,526359.9473321,526361.2156829,70,526359.983963,526360.017911,526360.1005831,526361.2214173,526362.0530886,1,1.26835080003366
105,7,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.0333333333333333,0.0333333333333333,0.0833333333333333,0.75,526362.0581687,526363.5017274,74,526362.0946528,526362.1281361,526362.2111052,526363.5082634,526364.2565998,0,1.44355870003346
105,8,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.2,526364.2614406,526365.622792,74,526364.2976992,526364.3315293,526364.4146715,526365.6295103,526366.8278486,0,1.36135139991529
105,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.31666666666667,526366.8329928,526368.5194521,70,526366.8706017,526366.9028141,526366.9854534,526368.5278376,526369.8428416,1,1.68645929999184
105,10,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.0333333333333333,0.0333333333333333,0.0833333333333333,1.86666666666667,526369.8485888,526370.9428978,70,526369.885016,526369.9205146,526370.0013499,526370.9490271,526372.8140321,1,1.09430899994913
