sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,2,complexity,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,0.95,1500023.9472477,1500025.7418868,52,NaN,1500025.4502067,1500025.7477699,1500026.6961092,NaN,NaN
120,2,2,complexity,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,1.55,1500026.7023624,1500028.7137746,52,NaN,1500028.205523,1500028.7192255,1500030.2675649,NaN,NaN
120,3,2,complexity,0,bathroom,sun_agyqfjcfkdcydepw.tif,135,1.5,0,1.2,1500030.2736814,1500032.4480366,52,NaN,1500031.7771718,1500032.4548282,1500033.6532122,NaN,NaN
120,4,2,complexity,0,bathroom,sun_apkruvsevgegsdwp.tif,154,1.5,0,1.86666666666667,1500033.660129,1500035.6414296,51,NaN,1500035.1630346,1500035.6480879,1500037.5130934,NaN,NaN
120,5,2,complexity,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,1.66666666666667,1500037.5192814,1500039.3364461,53,NaN,1500039.0222888,1500039.3419826,1500041.0069887,NaN,NaN
120,6,2,complexity,0,bathroom,sun_axldvoqbuvuggfmq.tif,167,1.5,0,1.35,1500041.0131091,1500042.8022543,52,NaN,1500042.5162142,1500042.8078523,1500044.1561937,NaN,NaN
120,7,2,complexity,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,1.11666666666667,1500044.1627952,1500046.1518201,49,NaN,1500045.666974,1500046.157319,1500047.2723274,NaN,NaN
120,8,2,complexity,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,0.95,1500047.2790053,1500049.2609536,53,NaN,1500048.7821907,1500049.2674968,1500050.2158371,NaN,NaN
120,9,2,complexity,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,1.03333333333333,1500050.221677,1500051.9796165,52,NaN,1500051.7242271,1500051.9861071,1500053.0177815,NaN,NaN
120,10,2,complexity,0,bathroom,sun_aunuadmjocsddsrl.tif,162,1.5,0,1.01666666666667,1500053.023923,1500055.260462,54,NaN,1500054.5269791,1500055.266038,1500056.2810446,NaN,NaN
120,11,2,complexity,0,bathroom,sun_agguqiubmwhqqunb.tif,132,1.5,0,1.81666666666667,1500056.2875684,1500057.9884843,53,NaN,1500057.790694,1500057.9949203,1500059.8099282,NaN,NaN
120,12,2,complexity,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.8,1500059.8163207,1500062.0700588,52,NaN,1500061.319334,1500062.0767595,1500063.875119,NaN,NaN
120,13,2,complexity,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.26666666666667,1500063.8830266,1500065.6698966,50,NaN,1500065.3859541,1500065.6751555,1500066.9401614,NaN,NaN
120,14,2,complexity,0,bathroom,sun_azqyogdvyhahyram.tif,170,1.5,0,1.66666666666667,1500066.9465588,1500068.7312664,51,NaN,1500068.4498264,1500068.7364741,1500070.4014819,NaN,NaN
120,15,2,complexity,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.93333333333333,1500070.4075451,1500072.3095608,52,NaN,1500071.9109278,1500072.3151516,1500074.246826,NaN,NaN
120,16,2,complexity,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.75,1500074.2533713,1500076.3821309,51,NaN,1500075.7566953,1500076.3876096,1500078.135948,NaN,NaN
120,17,2,complexity,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,0.766666666666667,1500078.1426301,1500080.1775282,52,NaN,1500079.6468884,1500080.183171,1500080.9481797,NaN,NaN
120,18,2,complexity,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,1.43333333333333,1500080.9544348,1500082.779752,53,NaN,1500082.4580466,1500082.7854329,1500084.2171074,NaN,NaN
120,19,2,complexity,0,bathroom,sun_ahqjwnzgolcaoidx.tif,139,1.5,0,0.916666666666667,1500084.2249217,1500085.9937769,53,NaN,1500085.727694,1500085.9994144,1500086.9144227,NaN,NaN
120,20,2,complexity,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,0.766666666666667,1500086.921779,1500088.6852261,52,NaN,1500088.4245296,1500088.6912922,1500089.4563016,NaN,NaN
120,21,2,complexity,0,bathroom,sun_apynckhmoftszqoq.tif,157,1.5,0,0.783333333333333,1500089.462551,1500091.324941,51,NaN,1500090.9653674,1500091.3305671,1500092.1122413,NaN,NaN
120,22,2,complexity,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,1.31666666666667,1500092.1189613,1500093.9184608,51,NaN,1500093.6222842,1500093.9240938,1500095.2390993,NaN,NaN
120,23,2,complexity,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,1.1,1500095.2452774,1500097.0411438,54,NaN,1500096.7483997,1500097.0477197,1500098.146063,NaN,NaN
120,24,2,complexity,0,bathroom,sun_ahaulkltgpkeeemi.tif,136,1.5,0,1.26666666666667,1500098.1522534,1500099.8904126,51,NaN,1500099.6565674,1500099.8961921,1500101.1612001,NaN,NaN
120,25,2,complexity,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,0.933333333333333,1500101.1674025,1500103.4340538,52,NaN,1500102.6698423,1500103.4397789,1500104.371453,NaN,NaN
