sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,0,complexity,1,bathroom,bathroom_practice3.tif,223,1.5,0,1.56666666666667,1499914.0481073,1499915.851572,53,NaN,1499915.5511875,1499915.8571483,1499917.4221558,NaN,NaN
120,2,0,complexity,1,bathroom,bathroom_practice5.tif,225,1.5,0,1.1,1499917.4287352,1499922.2413356,54,NaN,1499918.9325618,1499922.2469303,1499923.3452712,NaN,NaN
120,3,0,complexity,1,bathroom,bathroom_practice2.tif,222,1.5,0,1.51666666666667,1499923.3527845,1499924.8559869,55,NaN,1499924.8557789,1499924.882313,1499926.3973223,NaN,NaN
120,4,0,complexity,1,bathroom,bathroom_practice4.tif,224,1.5,0,1.15,1499926.4035604,1499928.4801962,51,NaN,1499927.9069736,1499928.4870564,1499929.6353946,NaN,NaN
120,5,0,complexity,1,bathroom,bathroom_practice1.tif,221,1.5,0,1.26666666666667,1499929.6412126,1499931.1441481,49,NaN,1499931.1439433,1499931.1705556,1499932.4355603,NaN,NaN
120,1,1,complexity,0,bathroom,sun_abapwbhyhkfixyex.tif,124,1.5,0,0.75,1499941.4701236,1499944.5884834,51,NaN,1499942.9733899,1499944.5941235,1499945.3424631,NaN,NaN
120,2,1,complexity,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,1.28333333333333,1499945.3486853,1499946.8514481,52,NaN,1499946.8512094,1499946.8769818,1499948.1586548,NaN,NaN
120,3,1,complexity,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.76666666666667,1499948.165435,1499950.107444,50,NaN,1499949.6688527,1499950.114285,1499951.8793178,NaN,NaN
120,4,1,complexity,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,1.28333333333333,1499951.8862218,1499953.4184698,54,NaN,1499953.3895203,1499953.4248077,1499954.7064804,NaN,NaN
120,5,1,complexity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,1.8,1499954.7125895,1499956.5636571,52,NaN,1499956.2156443,1499956.569157,1499958.3674962,NaN,NaN
120,6,1,complexity,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.716666666666667,1499958.3736317,1499960.1343077,54,NaN,1499959.8773679,1499960.1399251,1499960.8549329,NaN,NaN
120,7,1,complexity,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,1,1499960.861333,1499962.6287312,55,NaN,1499962.3651599,1499962.6352405,1499963.6335797,NaN,NaN
120,8,1,complexity,0,bathroom,sun_apjevzvycyhuqghb.tif,153,1.5,0,1.21666666666667,1499963.6393296,1499965.4566883,54,NaN,1499965.1423573,1499965.4623469,1499966.6773552,NaN,NaN
120,9,1,complexity,0,bathroom,sun_aapitsgbtktqubfy.tif,122,1.5,0,1.55,1499966.683511,1499968.4503981,51,NaN,1499968.1869462,1499968.4558798,1499970.0042209,NaN,NaN
120,10,1,complexity,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,2,1499970.0106115,1499972.0779964,50,NaN,1499971.5140415,1499972.0845492,1499974.0828912,NaN,NaN
120,11,1,complexity,0,bathroom,sun_aqrpegblszgcoujh.tif,158,1.5,0,0.716666666666667,1499974.0903712,1499976.9067619,51,NaN,1499975.5941489,1499976.9126473,1499977.627652,NaN,NaN
120,12,1,complexity,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,0.933333333333333,1499977.6337224,1499980.8435657,51,NaN,1499979.1365372,1499980.8490622,1499981.7807363,NaN,NaN
