sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,1,familiarity,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.26666666666667,1492794.4771971,1492796.9885691,53,NaN,1492795.9817407,1492796.9970406,1492798.2620465,NaN,NaN
120,2,1,familiarity,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,1.76666666666667,1492798.2707955,1492800.1973016,50,NaN,1492799.7757336,1492800.2058557,1492801.9708596,NaN,NaN
120,3,1,familiarity,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.46666666666667,1492801.9798515,1492805.3559124,52,NaN,1492803.485526,1492805.3642927,1492806.8292993,NaN,NaN
120,4,1,familiarity,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,1.28333333333333,1492806.8381724,1492810.433419,52,NaN,1492808.3415145,1492810.4390906,1492811.7207633,NaN,NaN
120,5,1,familiarity,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,0.966666666666667,1492811.726929,1492813.9856583,50,NaN,1492813.230207,1492813.9913924,1492814.9563969,NaN,NaN
120,6,1,familiarity,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,0.783333333333333,1492814.9623132,1492817.0673464,53,NaN,1492816.4655901,1492817.0734076,1492817.8550803,NaN,NaN
120,7,1,familiarity,0,bathroom,sun_acgyywnybuveqsro.tif,128,1.5,0,1.21666666666667,1492817.8614546,1492819.7331078,54,NaN,1492819.3642568,1492819.7394733,1492820.9544801,NaN,NaN
120,8,1,familiarity,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,1.4,1492820.9610786,1492822.9995753,52,NaN,1492822.464687,1492823.0050326,1492824.4033746,NaN,NaN
120,9,1,familiarity,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,1.3,1492824.4095685,1492826.2778811,50,NaN,1492825.9133427,1492826.2839354,1492827.5822774,NaN,NaN
120,10,1,familiarity,0,bathroom,sun_ahqjwnzgolcaoidx.tif,139,1.5,0,0.95,1492827.5884018,1492829.824222,54,NaN,1492829.0911814,1492829.8297894,1492830.7781429,NaN,NaN
120,11,1,familiarity,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,1.96666666666667,1492830.7843418,1492833.2363169,53,NaN,1492832.2880277,1492833.2425727,1492835.2075795,NaN,NaN
120,12,1,familiarity,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,1.13333333333333,1492835.2134478,1492837.6168714,51,NaN,1492836.7171364,1492837.6222918,1492838.7539645,NaN,NaN
120,13,1,familiarity,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.933333333333333,1492838.7599614,1492841.9656318,51,NaN,1492840.2630565,1492841.9716541,1492842.903326,NaN,NaN
120,14,1,familiarity,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.6,1492842.9098219,1492845.2401403,54,NaN,1492844.413293,1492845.2467346,1492846.845074,NaN,NaN
120,15,1,familiarity,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,1.38333333333333,1492846.8526512,1492850.5605217,53,NaN,1492848.3559198,1492850.5671641,1492851.9488365,NaN,NaN
120,16,1,familiarity,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.58333333333333,1492851.9551139,1492854.3053465,52,NaN,1492853.458407,1492854.3108193,1492855.8924924,NaN,NaN
120,17,1,familiarity,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,0.966666666666667,1492855.898447,1492858.1072444,50,NaN,1492857.4017951,1492858.1129485,1492859.0779727,NaN,NaN
120,18,1,familiarity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0.983333333333333,1492859.0849065,1492861.0896568,51,NaN,1492860.5885048,1492861.0951452,1492862.076818,NaN,NaN
120,19,1,familiarity,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,0.8,1492862.0840889,1492863.9419235,50,NaN,1492863.5874809,1492863.9485159,1492864.7468563,NaN,NaN
120,20,1,familiarity,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,0.7,1492864.7530607,1492867.5968082,53,NaN,1492866.2563352,1492867.6032073,1492868.3015472,NaN,NaN
120,21,1,familiarity,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,0.716666666666667,1492868.3076664,1492870.4913708,51,NaN,1492869.811043,1492870.497054,1492871.2120592,NaN,NaN
120,22,1,familiarity,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.76666666666667,1492871.2180492,1492873.2589777,53,NaN,1492872.7211979,1492873.2647812,1492875.0297896,NaN,NaN
120,23,1,familiarity,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,1.7,1492875.0361962,1492876.8948291,51,NaN,1492876.5395411,1492876.9009484,1492878.5992876,NaN,NaN
120,24,1,familiarity,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.38333333333333,1492878.605428,1492883.1088239,53,NaN,1492880.1087307,1492883.1146741,1492884.496349,NaN,NaN
120,25,1,familiarity,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,0.766666666666667,1492884.5038735,1492886.4566332,52,NaN,1492886.0077188,1492886.4631775,1492887.2281835,NaN,NaN
