sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,2,typicality,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,1.65,1492670.6002412,1492673.7896086,51,NaN,1492672.1051128,1492673.7978382,1492675.44618,NaN,NaN
120,2,2,typicality,0,bathroom,sun_apkruvsevgegsdwp.tif,154,1.5,0,1.01666666666667,1492675.4549925,1492677.1497496,55,NaN,1492676.9591343,1492677.158388,1492678.1733934,NaN,NaN
120,3,2,typicality,0,bathroom,sun_ahijqszoswveeyji.tif,138,1.5,0,1.58333333333333,1492678.1821268,1492680.2747868,53,NaN,1492679.6875986,1492680.2832188,1492681.8648916,NaN,NaN
120,4,2,typicality,0,bathroom,sun_aunuadmjocsddsrl.tif,162,1.5,0,0.7,1492681.8733841,1492683.657731,52,NaN,1492683.3785177,1492683.6665232,1492684.3648645,NaN,NaN
120,5,2,typicality,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,1.23333333333333,1492684.3739501,1492686.2462241,51,NaN,1492685.8793258,1492686.2544102,1492687.4861057,NaN,NaN
120,6,2,typicality,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,0.816666666666667,1492687.4952649,1492689.6585476,54,NaN,1492688.9996707,1492689.6669965,1492690.4820054,NaN,NaN
120,7,2,typicality,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.733333333333333,1492690.4908305,1492692.8367741,53,NaN,1492691.9959148,1492692.8457794,1492693.5774523,NaN,NaN
120,8,2,typicality,0,bathroom,sun_agguqiubmwhqqunb.tif,132,1.5,0,1.15,1492693.586197,1492695.8763474,52,NaN,1492695.0911813,1492695.8852685,1492697.0336066,NaN,NaN
120,9,2,typicality,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,0.933333333333333,1492697.0425117,1492699.6284541,51,NaN,1492698.54639,1492699.6384658,1492700.5701422,NaN,NaN
120,10,2,typicality,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,0.916666666666667,1492700.578796,1492702.6571319,52,NaN,1492702.0837875,1492702.6653812,1492703.5803867,NaN,NaN
120,11,2,typicality,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,1.26666666666667,1492703.5894,1492705.5775407,50,NaN,1492705.0955761,1492705.5864856,1492706.8514904,NaN,NaN
120,12,2,typicality,0,bathroom,sun_aqrpegblszgcoujh.tif,158,1.5,0,0.933333333333333,1492706.8606764,1492709.6146851,52,NaN,1492708.365107,1492709.6229457,1492710.5546176,NaN,NaN
120,13,2,typicality,0,bathroom,sun_ambriybtogmepttm.tif,146,1.5,0,1,1492710.5636337,1492712.5099875,51,NaN,1492712.069718,1492712.5191364,1492713.5174779,NaN,NaN
120,14,2,typicality,0,bathroom,sun_acgyywnybuveqsro.tif,128,1.5,0,1,1492713.5259576,1492715.4963523,54,NaN,1492715.0309268,1492715.5045693,1492716.50291,NaN,NaN
120,15,2,typicality,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,1.21666666666667,1492716.5114363,1492718.5962642,51,NaN,1492718.0173181,1492718.6053944,1492719.8203997,NaN,NaN
120,16,2,typicality,0,bathroom,sun_apjevzvycyhuqghb.tif,153,1.5,0,1.85,1492719.8292928,1492721.7041404,51,NaN,1492721.3338579,1492721.7119771,1492723.5603172,NaN,NaN
120,17,2,typicality,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,0.766666666666667,1492723.5692606,1492725.1694266,52,NaN,1492725.0742224,1492725.1776348,1492725.9426427,NaN,NaN
120,18,2,typicality,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,0.966666666666667,1492725.9518312,1492727.7056916,54,NaN,1492727.4571197,1492727.7143255,1492728.6793318,NaN,NaN
120,19,2,typicality,0,bathroom,sun_ahaulkltgpkeeemi.tif,136,1.5,0,1.4,1492728.6885662,1492730.5090749,54,NaN,1492730.1938503,1492730.5173773,1492731.9157386,NaN,NaN
120,20,2,typicality,0,bathroom,sun_apynckhmoftszqoq.tif,157,1.5,0,0.933333333333333,1492731.9265859,1492734.6349966,51,NaN,1492733.4321154,1492734.6431542,1492735.574826,NaN,NaN
120,21,2,typicality,0,bathroom,sun_ahqjwnzgolcaoidx.tif,139,1.5,0,1.7,1492735.5838194,1492737.5252359,53,NaN,1492737.0887244,1492737.5342618,1492739.232602,NaN,NaN
120,22,2,typicality,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,0.916666666666667,1492739.2422881,1492741.0440162,55,NaN,1492740.7471289,1492741.053173,1492741.9681806,NaN,NaN
120,23,2,typicality,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,0.833333333333333,1492741.9770938,1492743.8191126,53,NaN,1492743.4826821,1492743.8273088,1492744.6589844,NaN,NaN
120,24,2,typicality,0,bathroom,sun_azqyogdvyhahyram.tif,170,1.5,0,0.783333333333333,1492744.6680554,1492746.4265514,53,NaN,1492746.1728956,1492746.4353697,1492747.2170414,NaN,NaN
120,25,2,typicality,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.4,1492747.2258224,1492749.0222236,52,NaN,1492748.730547,1492749.0310689,1492750.4294103,NaN,NaN
