sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,0,typicality,1,bathroom,bathroom_practice2.tif,222,1.5,0,1.48333333333333,1492568.0774543,1492569.8504285,50,NaN,1492569.5863669,1492569.8645737,1492571.3463856,NaN,NaN
120,2,0,typicality,1,bathroom,bathroom_practice4.tif,224,1.5,0,0.75,1492571.3613631,1492573.2527877,52,NaN,1492572.8675093,1492573.2624591,1492574.0107973,NaN,NaN
120,3,0,typicality,1,bathroom,bathroom_practice1.tif,221,1.5,0,1.93333333333333,1492574.021253,1492575.5317812,54,NaN,1492575.5314504,1492575.5574365,1492577.4891125,NaN,NaN
120,4,0,typicality,1,bathroom,bathroom_practice5.tif,225,1.5,0,0.983333333333333,1492577.4984831,1492579.4371633,52,NaN,1492579.0041934,1492579.4463595,1492580.4280346,NaN,NaN
120,5,0,typicality,1,bathroom,bathroom_practice3.tif,223,1.5,0,0.883333333333333,1492580.4390063,1492582.1850404,51,NaN,1492581.9435617,1492582.1943315,1492583.0760172,NaN,NaN
120,1,1,typicality,0,bathroom,sun_aapitsgbtktqubfy.tif,122,1.5,0,0.866666666666667,1492587.2453431,1492588.7703732,54,NaN,1492588.7502459,1492588.7794948,1492589.6445514,NaN,NaN
120,2,1,typicality,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,1.03333333333333,1492589.653635,1492591.5842923,53,NaN,1492591.1588496,1492591.5928083,1492592.6244793,NaN,NaN
120,3,1,typicality,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,0.866666666666667,1492592.6335221,1492594.683186,52,NaN,1492594.1385045,1492594.6917184,1492595.5567239,NaN,NaN
120,4,1,typicality,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.61666666666667,1492595.5654798,1492597.4762554,53,NaN,1492597.0705448,1492597.4848451,1492599.0998519,NaN,NaN
120,5,1,typicality,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,0.883333333333333,1492599.1089413,1492601.3357216,50,NaN,1492600.6143378,1492601.344371,1492602.2260451,NaN,NaN
120,6,1,typicality,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,0.933333333333333,1492602.2349929,1492604.093105,49,NaN,1492603.7403648,1492604.1014833,1492605.0331581,NaN,NaN
120,7,1,typicality,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,1.5,1492605.0418812,1492607.0765252,53,NaN,1492606.5469382,1492607.0851506,1492608.5834904,NaN,NaN
120,8,1,typicality,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,1.36666666666667,1492608.5923112,1492610.8574165,50,NaN,1492610.0971981,1492610.8659618,1492612.230968,NaN,NaN
120,9,1,typicality,0,bathroom,sun_agyqfjcfkdcydepw.tif,135,1.5,0,0.85,1492612.2400232,1492614.5623824,51,NaN,1492613.7450417,1492614.5706306,1492615.4189699,NaN,NaN
120,10,1,typicality,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,1.81666666666667,1492615.4281414,1492617.2434833,53,NaN,1492616.933191,1492617.2523753,1492619.0673838,NaN,NaN
120,11,1,typicality,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,1.28333333333333,1492619.0762673,1492621.268323,53,NaN,1492620.5820097,1492621.2767112,1492622.5583834,NaN,NaN
120,12,1,typicality,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,1.23333333333333,1492622.5694966,1492624.454207,50,NaN,1492624.0750238,1492624.4625521,1492625.6942276,NaN,NaN
120,13,1,typicality,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0.883333333333333,1492625.7030244,1492628.0090582,51,NaN,1492627.2075444,1492628.0177869,1492628.8994603,NaN,NaN
120,14,1,typicality,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,0.866666666666667,1492628.908341,1492631.2288632,51,NaN,1492630.4127531,1492631.2371819,1492632.1021897,NaN,NaN
120,15,1,typicality,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.36666666666667,1492632.1108755,1492633.8746957,53,NaN,1492633.6165413,1492633.8836128,1492635.24862,NaN,NaN
120,16,1,typicality,0,bathroom,sun_acduarbnmmoglmiv.tif,126,1.5,0,1.05,1492635.2574131,1492637.0553136,52,NaN,1492636.7623966,1492637.0634657,1492638.1118172,NaN,NaN
120,17,1,typicality,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,1.21666666666667,1492638.121506,1492640.4382623,54,NaN,1492639.6265267,1492640.4468112,1492641.661816,NaN,NaN
120,18,1,typicality,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.816666666666667,1492641.6702909,1492643.4462197,53,NaN,1492643.1750439,1492643.4543943,1492644.2694131,NaN,NaN
120,19,1,typicality,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,1,1492644.2792384,1492646.0846635,54,NaN,1492645.7840977,1492646.0926914,1492647.0910294,NaN,NaN
120,20,1,typicality,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,1.21666666666667,1492647.1001858,1492649.062874,53,NaN,1492648.604867,1492649.0712264,1492650.2862337,NaN,NaN
120,21,1,typicality,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,1.46666666666667,1492650.2950353,1492652.2238734,55,NaN,1492651.8002304,1492652.2324422,1492653.6974473,NaN,NaN
