sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,1,1,usability,0,kitchen,sun_aqeaevwwwjoqhzvl.tif,210,1.5,0,1.91666666666667,1491346.9962649,1491348.9419919,51,NaN,1491348.4996336,1491348.9473506,1491350.8623552,NaN,NaN
120,2,1,usability,0,kitchen,sun_aypmqwcualkenuoe.tif,218,1.5,0,0.85,1491350.868641,1491352.8526246,49,NaN,1491352.3720802,1491352.8580093,1491353.7063488,NaN,NaN
120,3,1,usability,0,kitchen,labelme_rykdqxenmhulbdn.tif,173,1.5,0,0.7,1491353.7126465,1491355.624643,54,NaN,1491355.2157553,1491355.6302149,1491356.3285551,NaN,NaN
120,4,1,usability,0,kitchen,sun_adgqasybjyktddhj.tif,188,1.5,0,1.6,1491356.3347954,1491358.272227,53,NaN,1491357.8377724,1491358.2777807,1491359.8761224,NaN,NaN
120,5,1,usability,0,kitchen,sun_aehawpgmrlhlvcow.tif,191,1.5,0,1.13333333333333,1491359.8824166,1491362.0630047,52,NaN,1491361.3858471,1491362.0685796,1491363.2002739,NaN,NaN
120,6,1,usability,0,kitchen,sun_aadbddgrdsjugojn.tif,174,1.5,0,0.716666666666667,1491363.2070912,1491365.1457727,50,NaN,1491364.7105581,1491365.1516479,1491365.8666551,NaN,NaN
120,7,1,usability,0,kitchen,sun_acwjdupvyjsugpay.tif,186,1.5,0,1.6,1491365.8728396,1491367.757106,54,NaN,1491367.3767345,1491367.7627201,1491369.3610613,NaN,NaN
120,8,1,usability,0,kitchen,sun_ajcbwwvdlsvjyzje.tif,205,1.5,0,1.68333333333333,1491369.3686256,1491371.3912753,54,NaN,1491370.8726809,1491371.3977731,1491373.0794604,NaN,NaN
120,9,1,usability,0,kitchen,sun_aunzlwrbjumxhwdj.tif,212,1.5,0,1.41666666666667,1491373.0861492,1491375.0564266,50,NaN,1491374.5887476,1491375.0618914,1491376.4768984,NaN,NaN
120,10,1,usability,0,kitchen,sun_aamedkxepzlwuxes.tif,175,1.5,0,1,1491376.4831486,1491378.4666945,51,NaN,1491377.9867164,1491378.4722903,1491379.4706293,NaN,NaN
120,11,1,usability,0,kitchen,sun_ahpczsiumwwocjkv.tif,202,1.5,0,1.33333333333333,1491379.4780888,1491381.5863076,54,NaN,1491380.9814276,1491381.5923986,1491382.924073,NaN,NaN
120,12,1,usability,0,kitchen,sun_aenotlpyftoioydp.tif,192,1.5,0,1.15,1491382.930509,1491385.4807399,52,NaN,1491384.4342503,1491385.4873829,1491386.6357408,NaN,NaN
120,13,1,usability,0,kitchen,sun_aexklacwqwezaorf.tif,194,1.5,0,1.86666666666667,1491386.6422456,1491389.6310026,54,NaN,1491388.1450538,1491389.6364941,1491391.5015015,NaN,NaN
120,14,1,usability,0,kitchen,sun_aapllqyqlykszopd.tif,176,1.5,0,1.18333333333333,1491391.5075023,1491393.2719344,53,NaN,1491393.0107767,1491393.277248,1491394.4589201,NaN,NaN
120,15,1,usability,0,kitchen,sun_ahywdevtimnqcsln.tif,204,1.5,0,1.71666666666667,1491394.4651306,1491397.2446127,52,NaN,1491395.9679634,1491397.2499967,1491398.965005,NaN,NaN
120,16,1,usability,0,kitchen,sun_aggjlwcdjsjcaemh.tif,196,1.5,0,1.1,1491398.971309,1491400.9629804,51,NaN,1491400.474753,1491400.9697646,1491402.0681056,NaN,NaN
120,17,1,usability,0,kitchen,sun_acxkpeoqbwcxfvip.tif,187,1.5,0,0.983333333333333,1491402.0746837,1491403.8655786,54,NaN,1491403.5781905,1491403.8720307,1491404.8537049,NaN,NaN
120,18,1,usability,0,kitchen,sun_aeqdocilnnpuvuhx.tif,193,1.5,0,0.916666666666667,1491404.8598095,1491407.0060266,54,NaN,1491406.3630922,1491407.0123961,1491407.9274016,NaN,NaN
120,19,1,usability,0,kitchen,sun_amjjdeyrggfqgmom.tif,209,1.5,0,0.716666666666667,1491407.9337424,1491410.0554601,54,NaN,1491409.4367844,1491410.0619366,1491410.7769433,NaN,NaN
120,20,1,usability,0,kitchen,sun_ajkqhtgcbgpcwrwn.tif,206,1.5,0,0.883333333333333,1491410.7830326,1491412.5389457,51,NaN,1491412.2865491,1491412.5454583,1491413.4271318,NaN,NaN
120,21,1,usability,0,kitchen,sun_azmutvzbxypaceni.tif,220,1.5,0,1.93333333333333,1491413.435135,1491415.5171056,52,NaN,1491414.9388708,1491415.522567,1491417.4542443,NaN,NaN
120,22,1,usability,0,kitchen,sun_axyyrmzcupyhlivc.tif,216,1.5,0,0.9,1491417.4605129,1491420.6275212,52,NaN,1491418.9638496,1491420.6337254,1491421.5320653,NaN,NaN
120,23,1,usability,0,kitchen,sun_auticobqsbwgoppi.tif,213,1.5,0,1.13333333333333,1491421.5389681,1491423.3311593,50,NaN,1491423.0428372,1491423.3376162,1491424.4692898,NaN,NaN
120,24,1,usability,0,kitchen,labelme_kxvouciolcpqplr.tif,172,1.5,0,0.766666666666667,1491424.4756188,1491426.5902651,54,NaN,1491425.9784348,1491426.595879,1491427.3608847,NaN,NaN
120,25,1,usability,0,kitchen,sun_agubuxuukhzyzpdp.tif,198,1.5,0,0.966666666666667,1491427.3672238,1491429.2301013,54,NaN,1491428.8703376,1491429.2356691,1491430.2006744,NaN,NaN
