sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
133,1,0,complexity,1,bathroom,bathroom_practice3.tif,223,1.5,0,1.56666666666667,1774.637088333,1779.340401125,4,NaN,1779.346749791,1779.365174041,1780.92523025,NaN,NaN
133,2,0,complexity,1,bathroom,bathroom_practice5.tif,225,1.5,0,1.1,1780.942482291,1785.972758,4,NaN,1785.9784015,1785.9967135,1787.090082458,NaN,NaN
133,3,0,complexity,1,bathroom,bathroom_practice2.tif,222,1.5,0,1.51666666666667,1787.0980195,1789.517196625,7,NaN,1789.522718958,1789.541003875,1791.051059833,NaN,NaN
133,4,0,complexity,1,bathroom,bathroom_practice4.tif,224,1.5,0,1.15,1791.069970791,1794.965376083,2,NaN,1794.970976375,1794.989360958,1796.132740625,NaN,NaN
133,5,0,complexity,1,bathroom,bathroom_practice1.tif,221,1.5,0,1.26666666666667,1796.141447333,1798.932549958,2,NaN,1798.938378375,1798.9567315,1800.216767375,NaN,NaN
133,1,1,complexity,0,bathroom,sun_abapwbhyhkfixyex.tif,124,1.5,0,0.75,1807.169377958,1814.732571791,3,NaN,1814.738166958,1814.756653333,1815.499992,NaN,NaN
133,2,1,complexity,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,1.28333333333333,1815.504914333,1822.356815958,3,NaN,1822.362460333,1822.380675208,1823.657401041,NaN,NaN
133,3,1,complexity,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.76666666666667,1823.670580583,1826.397188291,2,NaN,1826.402732958,1826.421372541,1828.181422041,NaN,NaN
133,4,1,complexity,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,1.28333333333333,1828.200748291,1831.280963416,2,NaN,1831.308653041,1831.332112833,1832.608839541,NaN,NaN
133,5,1,complexity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,1.8,1832.62401675,1835.836561833,3,NaN,1835.842313708,1835.860686083,1837.654074958,NaN,NaN
133,6,1,complexity,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.716666666666667,1837.670480583,1842.156798916,4,NaN,1842.162342083,1842.180679666,1842.890686458,NaN,NaN
133,7,1,complexity,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,1,1842.896036083,1847.940537,5,NaN,1847.94715,1847.965577166,1848.958917125,NaN,NaN
133,8,1,complexity,0,bathroom,sun_apjevzvycyhuqghb.tif,153,1.5,0,1.21666666666667,1848.964229708,1857.716207541,5,NaN,1857.722352166,1857.740782333,1858.950830833,NaN,NaN
133,9,1,complexity,0,bathroom,sun_aapitsgbtktqubfy.tif,122,1.5,0,1.55,1858.969846666,1862.460266833,2,NaN,1862.466193708,1862.484289625,1864.027674208,NaN,NaN
133,10,1,complexity,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,2,1864.046383958,1867.387683833,2,NaN,1867.413533541,1867.437417208,1869.430797083,NaN,NaN
133,11,1,complexity,0,bathroom,sun_aqrpegblszgcoujh.tif,158,1.5,0,0.716666666666667,1869.4468205,1872.104225958,3,NaN,1872.135393208,1872.158706291,1872.868713208,NaN,NaN
133,12,1,complexity,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,0.933333333333333,1872.874397416,1875.597607208,5,NaN,1875.626426583,1875.649509375,1876.576179583,NaN,NaN
133,13,1,complexity,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,1.58333333333333,1876.581131958,1880.396357666,2,NaN,1880.401983333,1880.420358375,1881.997083625,NaN,NaN
133,14,1,complexity,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,0.9,1882.014694166,1885.197982666,6,NaN,1885.228103333,1885.251827125,1886.145166333,NaN,NaN
133,15,1,complexity,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,1.16666666666667,1886.150812958,1888.998158125,5,NaN,1889.027781541,1889.051141291,1890.211177125,NaN,NaN
133,16,1,complexity,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,0.733333333333333,1890.222199875,1893.404204166,6,NaN,1893.409978583,1893.428339625,1894.15501175,NaN,NaN
133,17,1,complexity,0,bathroom,sun_ahijqszoswveeyji.tif,138,1.5,0,1.15,1894.160193541,1900.5087215,5,NaN,1900.514215041,1900.532683791,1901.676128083,NaN,NaN
133,18,1,complexity,0,bathroom,sun_acgyywnybuveqsro.tif,128,1.5,0,1.01666666666667,1901.685652708,1905.421018916,1,NaN,1905.426475125,1905.444761541,1906.454794875,NaN,NaN
133,19,1,complexity,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,0.883333333333333,1906.463033833,1910.09200425,4,NaN,1910.098102666,1910.116398208,1910.993069541,NaN,NaN
133,20,1,complexity,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,1.65,1910.998786041,1916.435913208,5,NaN,1916.441823708,1916.460140166,1918.103516041,NaN,NaN
133,21,1,complexity,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,0.75,1918.121343583,1921.551674916,2,NaN,1921.573384958,1921.59347,1922.336808375,NaN,NaN
133,22,1,complexity,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,1.28333333333333,1922.341285333,1926.404416416,4,NaN,1926.410238,1926.428716416,1927.705432458,NaN,NaN
133,23,1,complexity,0,bathroom,sun_ambriybtogmepttm.tif,146,1.5,0,1.25,1927.720908375,1932.244913166,3,NaN,1932.250419833,1932.268700041,1933.512085666,NaN,NaN
133,24,1,complexity,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.833333333333333,1933.53066775,1936.260556958,4,NaN,1936.266080041,1936.284112125,1937.110785125,NaN,NaN
