sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask_dur,jitter,stim_time,time_of_resp,trial_response,blank_time,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
114,1,2,familiarity,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,0,0.866666666666667,972869.8923964,972947.8520323,51,NaN,NaN,972871.3943247,972947.8559576,972948.7209685,NaN,NaN
114,2,2,familiarity,0,bathroom,sun_ahcvzmoyaycdoftf.tif,136,1.5,0,0,0.783333333333333,972948.7248576,972948.7251649,51,NaN,NaN,972950.226613,972950.2325424,972951.0142122,NaN,NaN
114,3,2,familiarity,0,bathroom,sun_aghyqhbptboemmoq.tif,132,1.5,0,0,1.46666666666667,972951.0180123,972951.0181985,51,NaN,NaN,972952.5201317,972952.5260343,972953.9910378,NaN,NaN
114,4,2,familiarity,0,bathroom,sun_apkruvsevgegsdwp.tif,154,1.5,0,0,1.95,972953.9951833,972953.9953426,51,NaN,NaN,972955.4970813,972955.5032076,972957.4515457,NaN,NaN
114,5,2,familiarity,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,0,0.7,972957.4556728,972983.8991351,52,NaN,NaN,972958.9578259,972983.9031869,972984.6015231,NaN,NaN
114,6,2,familiarity,0,bathroom,sun_ahaulkltgpkeeemi.tif,135,1.5,0,0,0.733333333333333,972984.6055613,972985.3488378,51,NaN,NaN,972986.1074556,972986.1133943,972986.8450638,NaN,NaN
114,7,2,familiarity,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,0,1.65,972986.8489132,972986.85881,51,NaN,NaN,972988.3513223,972988.3572722,972990.0056089,NaN,NaN
114,8,2,familiarity,0,bathroom,sun_aunuadmjocsddsrl.tif,162,1.5,0,0,1.53333333333333,972990.0092923,972990.009457,51,NaN,NaN,972991.5110972,972991.5171715,972993.04885,NaN,NaN
114,9,2,familiarity,0,bathroom,sun_apjevzvycyhuqghb.tif,153,1.5,0,0,1.18333333333333,972993.0530057,972994.7031207,51,NaN,NaN,972994.5549739,972994.706891,972995.8885629,NaN,NaN
114,10,2,familiarity,0,bathroom,sun_ahijqszoswveeyji.tif,137,1.5,0,0,1,972995.8925237,972998.6376454,53,NaN,NaN,972997.3944089,972998.6411863,972999.6395357,NaN,NaN
114,11,2,familiarity,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,0,1,972999.6441564,973000.131539,53,NaN,NaN,973001.1463527,973001.152529,973002.1508657,NaN,NaN
114,12,2,familiarity,0,bathroom,sun_agguqiubmwhqqunb.tif,131,1.5,0,0,0.966666666666667,973002.1548964,973002.4481922,53,NaN,NaN,973003.6566493,973003.6629311,973004.6279364,NaN,NaN
114,13,2,familiarity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0,1.98333333333333,973004.6318791,973004.6320574,53,NaN,NaN,973006.1335849,973006.1398749,973008.1215453,NaN,NaN
114,14,2,familiarity,0,bathroom,sun_abapwbhyhkfixyex.tif,125,1.5,0,0,1.1,973008.1256501,973014.8561252,53,NaN,NaN,973009.6274872,973014.8599593,973015.9582968,NaN,NaN
114,15,2,familiarity,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,0,1.51666666666667,973015.9622843,973015.9624626,53,NaN,NaN,973017.464188,973017.4703353,973018.98534,NaN,NaN
114,16,2,familiarity,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,0,1.11666666666667,973018.9893421,973024.3499365,53,NaN,NaN,973020.4913331,973024.3550181,973025.4700209,NaN,NaN
114,17,2,familiarity,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,0,1.33333333333333,973025.4744499,973025.4746051,53,NaN,NaN,973026.9762372,973026.9825606,973028.3142445,NaN,NaN
114,18,2,familiarity,0,bathroom,sun_ammzpemadwrjdfzl.tif,146,1.5,0,0,1.68333333333333,973028.3183474,973028.3185366,53,NaN,NaN,973029.8202781,973029.8262898,973031.5079598,NaN,NaN
114,19,2,familiarity,0,bathroom,sun_alkosphxlxwjwgjd.tif,143,1.5,0,0,1.98333333333333,973031.5121697,973048.4607282,54,NaN,NaN,973033.0140618,973048.4645079,973050.4461778,NaN,NaN
114,20,2,familiarity,0,bathroom,sun_aleqenyvunhactkl.tif,141,1.5,0,0,1.58333333333333,973050.449846,973050.4500179,54,NaN,NaN,973051.9516398,973051.9576301,973053.5393008,NaN,NaN
114,21,2,familiarity,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,0,1.78333333333333,973053.5435845,973053.5437959,54,NaN,NaN,973055.0455033,973055.0515728,973056.8332439,NaN,NaN
114,22,2,familiarity,0,bathroom,sun_axldvoqbuvuggfmq.tif,167,1.5,0,0,0.883333333333333,973056.8378609,973056.8380287,54,NaN,NaN,973058.3394891,973058.345726,973059.2273977,NaN,NaN
114,23,2,familiarity,0,bathroom,sun_aljolscmmzydegqp.tif,142,1.5,0,0,1.91666666666667,973059.2315466,973059.2317734,54,NaN,NaN,973060.7333286,973060.7394829,973062.6544878,NaN,NaN
114,24,2,familiarity,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0,0.7,973062.6584682,973062.658655,54,NaN,NaN,973064.1601768,973064.1662713,973064.8646103,NaN,NaN
114,25,2,familiarity,0,bathroom,sun_azqyogdvyhahyram.tif,170,1.5,0,0,1.01666666666667,973064.8687273,973064.86897,54,NaN,NaN,973066.37027,973066.3764428,973067.3914476,NaN,NaN
