sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
117,1,1,typicality,0,kitchen,sun_agubuxuukhzyzpdp.tif,198,1.5,0,0.733333333333333,1478191.2761198,1478192.7794321,53,NaN,1478192.7790778,1478192.785077,1478193.516749,NaN,NaN
117,2,1,typicality,0,kitchen,sun_ahpczsiumwwocjkv.tif,202,1.5,0,1.18333333333333,1478193.5210172,1478195.0235401,54,NaN,1478195.0233293,1478195.0292062,1478196.2108788,NaN,NaN
117,3,1,typicality,0,kitchen,sun_aapllqyqlykszopd.tif,176,1.5,0,0.7,1478196.2152016,1478197.7180288,55,NaN,1478197.7178155,1478197.7236074,1478198.4219684,NaN,NaN
117,4,1,typicality,0,kitchen,sun_aunzlwrbjumxhwdj.tif,212,1.5,0,1.2,1478198.4264117,1478199.9297817,51,NaN,1478199.9293976,1478199.9355747,1478201.1339138,NaN,NaN
117,5,1,typicality,0,kitchen,sun_adgqasybjyktddhj.tif,188,1.5,0,0.966666666666667,1478201.1386738,1478202.6413946,53,NaN,1478202.6411763,1478202.6472109,1478203.6122161,NaN,NaN
117,6,1,typicality,0,kitchen,sun_aaxxjlsuzvqlgylf.tif,178,1.5,0,1.3,1478203.6163155,1478205.1192278,54,NaN,1478205.1190258,1478205.1253624,1478206.4237011,NaN,NaN
117,7,1,typicality,0,kitchen,labelme_kxvouciolcpqplr.tif,172,1.5,0,1.65,1478206.4277801,1478207.9304996,51,NaN,1478207.9302721,1478207.9364924,1478209.5848329,NaN,NaN
117,8,1,typicality,0,kitchen,sun_aqeaevwwwjoqhzvl.tif,210,1.5,0,1.63333333333333,1478209.589329,1478211.0915195,52,NaN,1478211.091321,1478211.097616,1478212.7292883,NaN,NaN
117,9,1,typicality,0,kitchen,sun_acfmftudsenhrfhy.tif,184,1.5,0,0.9,1478212.7334984,1478214.2359593,53,NaN,1478214.2357615,1478214.2418461,1478215.1401861,NaN,NaN
117,10,1,typicality,0,kitchen,sun_ayqymgxqhxxiykiw.tif,219,1.5,0,0.95,1478215.1448209,1478216.6475658,54,NaN,1478216.6473464,1478216.6534467,1478217.6017863,NaN,NaN
117,11,1,typicality,0,kitchen,sun_awcpdzzznmweyyhv.tif,215,1.5,0,0.816666666666667,1478217.6058353,1478219.1086077,54,NaN,1478219.1084046,1478219.1145064,1478219.9295129,NaN,NaN
117,12,1,typicality,0,kitchen,sun_aarfiyshqohlwkmo.tif,177,1.5,0,1.96666666666667,1478219.9336973,1478221.4368544,54,NaN,1478221.4366594,1478221.4428008,1478223.4078065,NaN,NaN
117,13,1,typicality,0,kitchen,sun_aeqdocilnnpuvuhx.tif,193,1.5,0,0.783333333333333,1478223.4118883,1478224.9155252,54,NaN,1478224.9153161,1478224.9215324,1478225.7032081,NaN,NaN
117,14,1,typicality,0,kitchen,sun_ahdycvpopffkzzsu.tif,200,1.5,0,0.733333333333333,1478225.7076266,1478227.6524886,54,NaN,1478227.2102436,1478227.657281,1478228.3889524,NaN,NaN
117,15,1,typicality,0,kitchen,sun_acgtpgfybqjmzeyw.tif,185,1.5,0,1.9,1478228.3927758,1478230.4951601,54,NaN,1478229.8951999,1478230.4994185,1478232.3977575,NaN,NaN
117,16,1,typicality,0,kitchen,sun_auaiucuqpdausiva.tif,211,1.5,0,0.75,1478232.4020252,1478234.2143597,52,NaN,1478233.9037395,1478234.2182363,1478234.9665799,NaN,NaN
117,17,1,typicality,0,kitchen,sun_aenotlpyftoioydp.tif,192,1.5,0,0.916666666666667,1478234.9709488,1478237.0123203,56,NaN,1478236.4733371,1478240.2787768,1478241.1937836,NaN,NaN
117,18,1,typicality,0,kitchen,sun_akchetnepxlcxhsu.tif,207,1.5,0,0.733333333333333,1478241.1979682,1478243.8488009,54,NaN,1478242.7003696,1478243.8526701,1478244.5843452,NaN,NaN
117,19,1,typicality,0,kitchen,sun_acxkpeoqbwcxfvip.tif,187,1.5,0,1.81666666666667,1478244.5885048,1478247.3256521,52,NaN,1478246.0908669,1478247.3291458,1478249.1441512,NaN,NaN
117,20,1,typicality,0,kitchen,labelme_rykdqxenmhulbdn.tif,173,1.5,0,1.16666666666667,1478249.1485835,1478250.6518337,54,NaN,1478250.651312,1478250.6575173,1478251.822526,NaN,NaN
117,21,1,typicality,0,kitchen,sun_agorklincwxrdtga.tif,197,1.5,0,1.81666666666667,1478251.8272057,NaN,NaN,NaN,1478253.3293732,NaN,NaN,NaN,NaN
117,22,1,typicality,0,kitchen,sun_aexklacwqwezaorf.tif,194,1.5,0,1.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,23,1,typicality,0,kitchen,sun_ahywdevtimnqcsln.tif,204,1.5,0,1.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,24,1,typicality,0,kitchen,sun_aamedkxepzlwuxes.tif,175,1.5,0,1.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,25,1,typicality,0,kitchen,sun_ajkqhtgcbgpcwrwn.tif,206,1.5,0,0.916666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
