sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
401,1,2,categorization,0,kitchen,SHINEd_sun_abdxkyyxwfskuaqb.tif,70,0.05,0.0666666666666667,0.95,4817.297168167,4820.815415334,9,4817.342953667,4817.403449917,4820.839360084,4821.782697709,NaN,NaN
401,2,2,categorization,0,bathroom,SHINEd_sun_aclfzgynxzxlbepz.tif,19,0.05,0.0666666666666667,0.75,4821.787225,4822.503366417,13,4821.832205417,4821.89368625,4822.512401834,4823.255739792,NaN,NaN
401,3,2,categorization,0,kitchen,SHINEd_sun_agzzivivdpnawacl.tif,89,0.05,0.0666666666666667,1.68333333333333,4823.2629175,4823.831208125,13,4823.307823959,4823.369229667,4823.837694875,4825.5144,NaN,NaN
401,4,2,categorization,0,bathroom,SHINEd_sun_ahaulkltgpkeeemi.tif,26,0.05,0.0666666666666667,0.816666666666667,4825.53114525,4826.298533042,13,4825.58145875,4825.648565834,4826.322253959,4827.132259709,NaN,NaN
401,5,2,categorization,0,bathroom,SHINEd_sun_aleqenyvunhactkl.tif,32,0.05,0.0666666666666667,0.916666666666667,4827.137961709,4827.798201375,9,4827.183003209,4827.244414459,4827.812813292,4828.722816417,NaN,NaN
401,6,2,categorization,0,kitchen,SHINEd_labelme_kxvouciolcpqplr.tif,62,0.05,0.0666666666666667,1.21666666666667,4828.728594292,4829.58249425,9,4828.77362625,4828.8349805,4829.587014,4830.797050584,NaN,NaN
401,7,2,categorization,0,kitchen,SHINEd_sun_agubuxuukhzyzpdp.tif,88,0.05,0.0666666666666667,0.9,4830.815110375,4831.576684167,9,4830.865441167,4830.932540167,4831.587133792,4832.480511459,NaN,NaN
401,8,2,categorization,0,kitchen,SHINEd_sun_ahywdevtimnqcsln.tif,94,0.05,0.0666666666666667,1.65,4832.497118459,4833.847016959,9,4832.547689417,4832.614530042,4833.866906459,4835.510294542,NaN,NaN
401,9,2,categorization,0,kitchen,SHINEd_sun_acgtpgfybqjmzeyw.tif,75,0.05,0.0666666666666667,1.15,4835.527509375,4836.261841709,9,4835.575799584,4835.646224875,4836.285842375,4837.429222167,NaN,NaN
401,10,2,categorization,0,bathroom,SHINEd_sun_aunuadmjocsddsrl.tif,52,0.05,0.0666666666666667,1.13333333333333,4837.439284917,4838.1443875,13,4837.487749375,4837.552795792,4838.17617525,4839.30289675,NaN,NaN
401,11,2,categorization,0,bathroom,SHINEd_sun_agguqiubmwhqqunb.tif,22,0.05,0.0666666666666667,1.76666666666667,4839.3201075,4840.303459459,9,4839.369546584,4839.427860542,4840.313511459,4842.07355625,NaN,NaN
401,12,2,categorization,0,kitchen,SHINEd_sun_axyyrmzcupyhlivc.tif,107,0.05,0.0666666666666667,1.8,4842.091197167,4842.799605084,9,4842.141540792,4842.208719667,4842.814698084,4844.608094625,NaN,NaN
401,13,2,categorization,0,bathroom,SHINEd_sun_aavhrsfjbserjtht.tif,13,0.05,0.0666666666666667,0.9,4844.626329834,4845.354822334,9,4844.67658625,4844.74456,4845.384236875,4846.277574584,NaN,NaN
401,14,2,categorization,0,bathroom,SHINEd_sun_aqrpegblszgcoujh.tif,48,0.05,0.0666666666666667,0.716666666666667,4846.282505917,4847.359269709,9,4846.327514292,4846.388766875,4847.374177584,4848.084181417,NaN,NaN
401,15,2,categorization,0,kitchen,SHINEd_labelme_brsyyvweiuaazfr.tif,61,0.05,0.0666666666666667,1.36666666666667,4848.088996125,4849.247252834,9,4848.134023792,4848.195278125,4849.264431125,4850.624469084,NaN,NaN
401,16,2,categorization,0,kitchen,SHINEd_sun_ahpczsiumwwocjkv.tif,92,0.05,0.0666666666666667,0.916666666666667,4850.643741792,4851.411765584,9,4850.693896292,4850.762131334,4851.436065917,4852.346099,NaN,NaN
401,17,2,categorization,0,bathroom,SHINEd_sun_apkruvsevgegsdwp.tif,44,0.05,0.0666666666666667,0.716666666666667,4852.353849834,4853.071106667,13,4852.398977834,4852.460342292,4853.079293209,4853.78929825,NaN,NaN
401,18,2,categorization,0,bathroom,SHINEd_sun_anryaplzeujmzfkd.tif,39,0.05,0.0666666666666667,0.766666666666667,4853.795894792,4854.814873709,13,4853.840858959,4853.902256292,4854.821482125,4855.5814875,NaN,NaN
401,19,2,categorization,0,bathroom,SHINEd_sun_ahqjwnzgolcaoidx.tif,29,0.05,0.0666666666666667,1.06666666666667,4855.586332125,4856.390934959,13,4855.631653584,4855.692577,4856.394215834,4857.454247375,NaN,NaN
401,20,2,categorization,0,kitchen,SHINEd_sun_afuyedyxivkhecmu.tif,85,0.05,0.0666666666666667,0.8,4857.465573667,4858.379007834,9,4857.513494959,4857.581396167,4858.404836542,4859.198201209,NaN,NaN
401,21,2,categorization,0,kitchen,SHINEd_sun_aapllqyqlykszopd.tif,66,0.05,0.0666666666666667,0.866666666666667,4859.210865417,4860.10319225,9,4859.261307125,4859.328506625,4860.114366542,4860.97437025,NaN,NaN
401,22,2,categorization,0,bathroom,SHINEd_sun_acegryoqftbzowsg.tif,17,0.05,0.0666666666666667,1.48333333333333,4860.979117792,4861.838522917,13,4861.024236167,4861.085395875,4861.854202125,4863.330906042,NaN,NaN
401,23,2,categorization,0,kitchen,SHINEd_sun_aaxxjlsuzvqlgylf.tif,68,0.05,0.0666666666666667,1.1,4863.348687417,4864.224876875,9,4863.398714417,4863.466440584,4864.256672417,4865.350040084,NaN,NaN
401,24,2,categorization,0,bathroom,SHINEd_sun_ahijqszoswveeyji.tif,28,0.05,0.0666666666666667,0.783333333333333,4865.358885625,4866.2265905,9,4865.407024292,4865.474928,4866.248884084,4867.025589459,NaN,NaN
401,25,2,categorization,0,kitchen,SHINEd_sun_ajkqhtgcbgpcwrwn.tif,97,0.05,0.0666666666666667,0.866666666666667,4867.043118792,4867.766486584,9,4867.093169625,4867.160724584,4867.779320834,4868.639326792,NaN,NaN
401,26,2,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,106,0.05,0.0666666666666667,1.83333333333333,4868.645829334,4869.391131542,13,4868.690828084,4868.752035584,4869.40430775,4871.231013334,NaN,NaN
401,27,2,categorization,0,bathroom,SHINEd_sun_ahcvzmoyaycdoftf.tif,27,0.05,0.0666666666666667,0.7,4871.248582792,4871.856375209,13,4871.298651875,4871.366458459,4871.871848625,4872.565187,NaN,NaN
401,28,2,categorization,0,bathroom,SHINEd_sun_apeeialkgkuxddgh.tif,42,0.05,0.0666666666666667,1.33333333333333,4872.570968042,4873.294888292,13,4872.616087,4872.677219834,4873.312882459,4874.63959825,NaN,NaN
401,29,2,categorization,0,kitchen,SHINEd_sun_aggjlwcdjsjcaemh.tif,86,0.05,0.0666666666666667,1.33333333333333,4874.657293459,4875.429502167,9,4874.707364042,4874.774917625,4875.447787209,4876.77449375,NaN,NaN
401,30,2,categorization,0,bathroom,SHINEd_sun_alkosphxlxwjwgjd.tif,34,0.05,0.0666666666666667,1.38333333333333,4876.793381459,4877.354657167,13,4876.843784667,4876.91086575,4877.384123042,4878.760834417,NaN,NaN
401,31,2,categorization,0,bathroom,SHINEd_sun_agyqfjcfkdcydepw.tif,25,0.05,0.0666666666666667,1.25,4878.781797875,4879.76780325,13,4878.831991584,4878.89963925,4879.789612375,4881.032992167,NaN,NaN
401,32,2,categorization,0,bathroom,SHINEd_sun_asfwthctfqerjvxr.tif,49,0.05,0.0666666666666667,1.55,4881.05023175,4881.890899542,9,4881.10070625,4881.167607084,4881.906833,4883.450198125,NaN,NaN
401,33,2,categorization,0,bathroom,SHINEd_sun_abjtwfukuwddzted.tif,15,0.05,0.0666666666666667,1.61666666666667,4883.4685165,4884.1302225,13,4883.518052667,4883.586211875,4884.159627875,4885.769662875,NaN,NaN
401,34,2,categorization,0,bathroom,SHINEd_labelme_sfxiulhjbhlyiyt.tif,11,0.05,0.0666666666666667,1.33333333333333,4885.791207542,4886.425280625,13,4885.842785292,4885.909781542,4886.450875584,4887.777581417,NaN,NaN
401,35,2,categorization,0,bathroom,SHINEd_sun_afcoljnjfoxjtgja.tif,20,0.05,0.0666666666666667,0.833333333333333,4887.799540834,4888.579425959,9,4887.850746625,4887.918141709,4888.609609542,4889.436327042,NaN,NaN
401,36,2,categorization,0,bathroom,SHINEd_sun_ausgutylgojavyoq.tif,53,0.05,0.0666666666666667,1.45,4889.455167459,4890.110093542,13,4889.501922959,4889.561845459,4890.113797625,4891.557183209,NaN,NaN
401,37,2,categorization,0,bathroom,SHINEd_sun_awnqiikzaispgmwo.tif,56,0.05,0.0666666666666667,0.933333333333333,4891.568302125,4892.343139542,13,4891.620084209,4891.685901875,4892.358566167,4893.285239417,NaN,NaN
401,38,2,categorization,0,kitchen,SHINEd_sun_abdenxonkemggwsq.tif,69,0.05,0.0666666666666667,1.65,4893.291070084,4894.110086209,13,4893.336062167,4893.397383292,4894.116090084,4895.759453334,NaN,NaN
401,39,2,categorization,0,bathroom,SHINEd_sun_apkxzenqapsujocq.tif,45,0.05,0.0666666666666667,1.23333333333333,4895.78074425,4896.685831792,13,4895.8312225,4895.898547042,4896.7048425,4897.931545459,NaN,NaN
401,40,2,categorization,0,kitchen,SHINEd_sun_amjjdeyrggfqgmom.tif,100,0.05,0.0666666666666667,0.766666666666667,4897.950534334,4898.689509667,9,4898.000883917,4898.068129459,4898.707902584,4899.467957584,NaN,NaN
