sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
102,1,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.0666666666666667,0.0666666666666667,1.21666666666667,15207.38090125,15209.150392834,9,15207.443577084,15207.503942125,15209.156357167,15210.366415459,1,1.76949158400021
102,2,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.0666666666666667,0.0666666666666667,1.36666666666667,15210.377162542,15212.582541875,13,15210.445332334,15210.510119584,15212.596282625,15213.956320459,0,2.20537933299966
102,3,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.0666666666666667,0.0666666666666667,1.85,15213.9769805,15214.919670584,13,15214.043696459,15214.110109709,15214.950368584,15216.793752667,1,0.942690084000787
102,4,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.0666666666666667,0.0666666666666667,1.55,15216.809762459,15217.677779125,9,15216.876057459,15216.942691167,15217.698595084,15219.241976625,1,0.868016666001495
102,5,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.0666666666666667,0.0666666666666667,1.48333333333333,15219.25997075,15220.157148584,13,15219.32704025,15219.392524917,15220.182646959,15221.659354792,1,0.897177834000104
102,6,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.0666666666666667,0.0666666666666667,1.15,15221.674838125,15222.488330792,9,15221.741744584,15221.807938542,15222.514665167,15223.658058792,0,0.813492667000901
102,7,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.0666666666666667,0.0666666666666667,0.733333333333333,15223.66841725,15224.463998584,9,15223.734226125,15223.801326167,15224.491446167,15225.218165875,1,0.795581333999507
102,8,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.0666666666666667,0.0666666666666667,1.6,15225.23417525,15226.093577125,9,15225.301139167,15225.367042,15226.102988417,15227.696364042,1,0.859401875000913
102,9,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.0666666666666667,0.0666666666666667,0.716666666666667,15227.714777834,15228.485792542,13,15227.781682459,15227.847626834,15228.503944125,15229.2139505,1,0.771014707999711
102,10,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.0666666666666667,0.0666666666666667,1.21666666666667,15229.219871375,15230.405888209,13,15229.281752792,15229.342543375,15230.411115667,15231.621163959,1,1.18601683399902
