sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
115,1,0,familiarity,1,bathroom,bathroom_practice1.tif,221,1.5,0,0.916666666666667,11505.320785792,11510.977761834,4,NaN,11510.983891167,11511.00305575,11511.913060709,NaN,NaN
115,2,0,familiarity,1,bathroom,bathroom_practice2.tif,222,1.5,0,0.85,11511.919208417,11515.5376375,1,NaN,11515.54360125,11515.56200625,11516.40534425,NaN,NaN
115,3,0,familiarity,1,bathroom,bathroom_practice3.tif,223,1.5,0,0.883333333333333,11516.410718375,11520.050418042,3,NaN,11520.056013459,11520.074392834,11520.951065709,NaN,NaN
115,4,0,familiarity,1,bathroom,bathroom_practice5.tif,225,1.5,0,1.43333333333333,11520.9563725,11525.137775125,3,NaN,11525.143738959,11525.162131125,11526.588829917,NaN,NaN
115,5,0,familiarity,1,bathroom,bathroom_practice4.tif,224,1.5,0,1.53333333333333,11526.607388084,11534.433912084,3,NaN,11534.439673209,11534.458174417,11535.984879792,NaN,NaN
115,1,1,familiarity,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.26666666666667,11542.228255292,11545.841804709,3,NaN,11545.8476125,11545.865988042,11547.126037959,NaN,NaN
115,2,1,familiarity,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,1.76666666666667,11547.136891417,11551.850405459,3,NaN,11551.855992375,11551.874329584,11553.634371875,NaN,NaN
115,3,1,familiarity,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.46666666666667,11553.654905959,11559.585692417,3,NaN,11559.591588417,11559.609844584,11561.069884917,NaN,NaN
115,4,1,familiarity,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,1.28333333333333,11561.084577959,11564.377912125,2,NaN,11564.383708375,11564.402468959,11565.679177042,NaN,NaN
115,5,1,familiarity,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,0.966666666666667,11565.699420292,11569.137868709,2,NaN,11569.143667875,11569.162305042,11570.122311667,NaN,NaN
115,6,1,familiarity,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,0.783333333333333,11570.127758667,11575.426073375,2,NaN,11575.431674917,11575.450144667,11576.226818459,NaN,NaN
115,7,1,familiarity,0,bathroom,sun_acgyywnybuveqsro.tif,128,1.5,0,1.21666666666667,11576.23188825,11580.129616875,1,NaN,11580.1354965,11580.15380025,11581.363841834,NaN,NaN
115,8,1,familiarity,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,1.4,11581.373063167,11586.834405667,2,NaN,11586.83990725,11586.858194459,11588.251559167,NaN,NaN
115,9,1,familiarity,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,1.3,11588.271668834,11591.474364375,2,NaN,11591.4801355,11591.498547917,11592.791927,NaN,NaN
115,10,1,familiarity,0,bathroom,sun_ahqjwnzgolcaoidx.tif,139,1.5,0,0.95,11592.81064125,11596.202195917,4,NaN,11596.207764459,11596.226175334,11597.169513917,NaN,NaN
115,11,1,familiarity,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,1.96666666666667,11597.174108834,11600.793818209,4,NaN,11600.799692917,11600.818117125,11602.778165459,NaN,NaN
115,12,1,familiarity,0,bathroom,sun_axyrejkiiaqiurjk.tif,169,1.5,0,1.13333333333333,11602.798456375,11605.687388584,2,NaN,11605.716852584,11605.740259209,11606.866956417,NaN,NaN
115,13,1,familiarity,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.933333333333333,11606.878446209,11610.913601709,4,NaN,11610.9199055,11610.938363584,11611.865036875,NaN,NaN
115,14,1,familiarity,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.6,11611.87043125,11614.893339417,5,NaN,11614.922872917,11614.9465315,11616.539918709,NaN,NaN
115,15,1,familiarity,0,bathroom,sun_akiytfaagpdsphgz.tif,141,1.5,0,1.38333333333333,11616.55716875,11620.849949292,3,NaN,11620.8559775,11620.874400959,11622.251102709,NaN,NaN
115,16,1,familiarity,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.58333333333333,11622.27186625,11626.929624625,4,NaN,11626.936047,11626.954635459,11628.531348584,NaN,NaN
115,17,1,familiarity,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,0.966666666666667,11628.551686834,11632.089907,4,NaN,11632.095412959,11632.113635125,11633.073639375,NaN,NaN
115,18,1,familiarity,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0.983333333333333,11633.079227959,11636.258158584,1,NaN,11636.263777792,11636.282292042,11637.258963,NaN,NaN
115,19,1,familiarity,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,0.8,11637.2639865,11641.161220459,3,NaN,11641.167369542,11641.185702209,11641.979040917,NaN,NaN
115,20,1,familiarity,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,0.7,11641.985591,11644.957484542,4,NaN,11644.986695,11645.010415792,11645.703753875,NaN,NaN
115,21,1,familiarity,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,0.716666666666667,11645.709223625,11650.338150292,4,NaN,11650.343585584,11650.362017875,11651.072022125,NaN,NaN
115,22,1,familiarity,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.76666666666667,11651.077059042,11654.561869542,6,NaN,11654.567609375,11654.585968,11656.345997959,NaN,NaN
115,23,1,familiarity,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,1.7,11656.36595825,11660.049130292,3,NaN,11660.056159625,11660.07451725,11661.767901375,NaN,NaN
115,24,1,familiarity,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.38333333333333,11661.788010459,11665.154061709,4,NaN,11665.183334042,11665.206735459,11666.583437834,NaN,NaN
115,25,1,familiarity,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,0.766666666666667,11666.603962417,11669.585727042,2,NaN,11669.591348417,11669.609840959,11670.369845459,NaN,NaN
115,1,2,familiarity,0,bathroom,sun_azqyogdvyhahyram.tif,170,1.5,0,0.85,11678.373932334,11683.401424209,7,NaN,11683.40734825,11683.425931792,11684.269270584,NaN,NaN
115,2,2,familiarity,0,bathroom,sun_agguqiubmwhqqunb.tif,132,1.5,0,1.53333333333333,11684.27457675,11688.273616417,3,NaN,11688.279311834,11688.297637834,11689.82434925,NaN,NaN
115,3,2,familiarity,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,0.7,11689.841318209,11693.03350575,1,NaN,11693.03932,11693.057808667,11693.751147667,NaN,NaN
115,4,2,familiarity,0,bathroom,sun_aunuadmjocsddsrl.tif,162,1.5,0,1.36666666666667,11693.756334584,11697.513223542,6,NaN,11697.519820042,11697.538331834,11698.8983815,NaN,NaN
115,5,2,familiarity,0,bathroom,sun_abapwbhyhkfixyex.tif,124,1.5,0,0.716666666666667,11698.91591075,11702.537675125,3,NaN,11702.543333042,11702.561694792,11703.271699042,NaN,NaN
115,6,2,familiarity,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,1.38333333333333,11703.27650075,11706.905503917,2,NaN,11706.910984542,11706.929399584,11708.306103042,NaN,NaN
115,7,2,familiarity,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,0.916666666666667,11708.323701709,11711.704959875,6,NaN,11711.710938375,11711.729502375,11712.639507875,NaN,NaN
115,8,2,familiarity,0,bathroom,sun_aqrpegblszgcoujh.tif,158,1.5,0,1.58333333333333,11712.644879625,11715.406860667,3,NaN,11715.43662025,11715.460176417,11717.036891667,NaN,NaN
115,9,2,familiarity,0,bathroom,sun_ahijqszoswveeyji.tif,138,1.5,0,1.25,11717.054751167,11719.833710459,3,NaN,11719.839189459,11719.857627334,11721.101009875,NaN,NaN
115,10,2,familiarity,0,bathroom,sun_axldvoqbuvuggfmq.tif,167,1.5,0,0.95,11721.111646667,11725.52099175,4,NaN,11725.527068084,11725.545462292,11726.488800542,NaN,NaN
115,11,2,familiarity,0,bathroom,sun_ahaulkltgpkeeemi.tif,136,1.5,0,1.4,11726.494291917,11729.55036825,6,NaN,11729.579700584,11729.601000042,11730.994370625,NaN,NaN
115,12,2,familiarity,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,0.766666666666667,11731.008353042,11733.801618334,6,NaN,11733.807144209,11733.82550325,11734.5855075,NaN,NaN
115,13,2,familiarity,0,bathroom,sun_apynckhmoftszqoq.tif,157,1.5,0,0.733333333333333,11734.591000042,11738.649442,5,NaN,11738.654911459,11738.673441959,11739.400114375,NaN,NaN
115,14,2,familiarity,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,1.06666666666667,11739.404551875,11742.393817584,6,NaN,11742.420649792,11742.440709209,11743.50075725,NaN,NaN
115,15,2,familiarity,0,bathroom,sun_agyqfjcfkdcydepw.tif,135,1.5,0,1.33333333333333,11743.5121365,11746.817019959,1,NaN,11746.822976084,11746.841358709,11748.168068334,NaN,NaN
115,16,2,familiarity,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,1.41666666666667,11748.187029959,11751.073656917,4,NaN,11751.079296584,11751.09765675,11752.507700834,NaN,NaN
115,17,2,familiarity,0,bathroom,sun_aapitsgbtktqubfy.tif,122,1.5,0,1.95,11752.52662025,11755.344872667,3,NaN,11755.350827667,11755.369269709,11757.312641542,NaN,NaN
115,18,2,familiarity,0,bathroom,sun_ambriybtogmepttm.tif,146,1.5,0,0.866666666666667,11757.32516675,11760.41247075,2,NaN,11760.441828667,11760.465508584,11761.325514042,NaN,NaN
115,19,2,familiarity,0,bathroom,sun_apkruvsevgegsdwp.tif,154,1.5,0,0.983333333333333,11761.330200334,11764.824681334,4,NaN,11764.830680542,11764.849080042,11765.825750792,NaN,NaN
115,20,2,familiarity,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,0.983333333333333,11765.831039042,11769.080996125,6,NaN,11769.087214417,11769.105476792,11770.082148584,NaN,NaN
115,21,2,familiarity,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,0.766666666666667,11770.087742125,11773.689057625,4,NaN,11773.694871334,11773.713221042,11774.473226292,NaN,NaN
115,22,2,familiarity,0,bathroom,sun_acduarbnmmoglmiv.tif,126,1.5,0,0.833333333333333,11774.478666292,11777.2686345,4,NaN,11777.295565542,11777.318249667,11778.144920417,NaN,NaN
115,23,2,familiarity,0,bathroom,sun_apjevzvycyhuqghb.tif,153,1.5,0,0.833333333333333,11778.151862209,11781.369182167,2,NaN,11781.375086042,11781.393404834,11782.220076167,NaN,NaN
115,24,2,familiarity,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.716666666666667,11782.225416084,11785.984647084,2,NaN,11785.99064025,11786.009071625,11786.719076042,NaN,NaN
115,25,2,familiarity,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,1.71666666666667,11786.72419925,11789.316055,1,NaN,11789.338557792,11789.359971125,11791.070005917,NaN,NaN
