sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
125,6,0,typicality,1,kitchen,kitchen_practice2.tif,227,1.5,0,0.966666666666667,2139.7269485,2148.131144666,3,NaN,2148.15318875,2148.174511291,2149.134602375,NaN,NaN
125,7,0,typicality,1,kitchen,kitchen_practice5.tif,230,1.5,0,1.58333333333333,2149.145321166,2155.12323525,3,NaN,2155.132706416,2155.151623625,2156.728544208,NaN,NaN
125,8,0,typicality,1,kitchen,kitchen_practice1.tif,226,1.5,0,1.03333333333333,2156.75656725,2162.770369041,2,NaN,2162.777287416,2162.795751958,2163.822515083,NaN,NaN
125,9,0,typicality,1,kitchen,kitchen_practice4.tif,229,1.5,0,1.68333333333333,2163.842474083,2167.091265333,3,NaN,2167.098163166,2167.116494083,2168.793218083,NaN,NaN
125,10,0,typicality,1,kitchen,kitchen_practice3.tif,228,1.5,0,1.45,2168.824909625,2171.91829125,4,NaN,2171.963616041,2171.985455833,2173.428858333,NaN,NaN
125,1,1,typicality,0,kitchen,sun_agubuxuukhzyzpdp.tif,198,1.5,0,0.733333333333333,2178.536211958,2182.370817791,4,NaN,2182.376973583,2182.39536125,2183.122035333,NaN,NaN
125,2,1,typicality,0,kitchen,sun_ahpczsiumwwocjkv.tif,202,1.5,0,1.18333333333333,2183.126319833,2186.315055583,3,NaN,2186.320867708,2186.339374666,2187.516105583,NaN,NaN
125,3,1,typicality,0,kitchen,sun_aapllqyqlykszopd.tif,176,1.5,0,0.7,2187.528662125,2190.474577666,5,NaN,2190.480361,2190.498653416,2191.191994916,NaN,NaN
125,4,1,typicality,0,kitchen,sun_auaiucuqpdausiva.tif,212,1.5,0,1.2,2191.196400208,2195.195355916,3,NaN,2195.200909833,2195.219296583,2196.412680541,NaN,NaN
125,5,1,typicality,0,kitchen,sun_adgqasybjyktddhj.tif,188,1.5,0,0.966666666666667,2196.426238625,2199.490954583,6,NaN,2199.4967395,2199.5152105,2200.475218666,NaN,NaN
125,6,1,typicality,0,kitchen,sun_aaxxjlsuzvqlgylf.tif,178,1.5,0,1.3,2200.479681333,2207.082347125,2,NaN,2207.088943958,2207.107397708,2208.400814916,NaN,NaN
125,7,1,typicality,0,kitchen,labelme_kxvouciolcpqplr.tif,172,1.5,0,1.65,2208.418579291,2213.106700541,4,NaN,2213.1127865,2213.13119125,2214.774623958,NaN,NaN
125,8,1,typicality,0,kitchen,sun_amjjdeyrggfqgmom.tif,210,1.5,0,1.63333333333333,2214.787734125,2217.366374583,2,NaN,2217.39165875,2217.415100875,2219.041827375,NaN,NaN
125,9,1,typicality,0,kitchen,sun_acfmftudsenhrfhy.tif,184,1.5,0,0.9,2219.059167083,2222.146511875,5,NaN,2222.1756435,2222.198324875,2223.091667333,NaN,NaN
125,10,1,typicality,0,kitchen,sun_aypmqwcualkenuoe.tif,219,1.5,0,0.95,2223.096420875,2225.927306041,1,NaN,2225.955286416,2225.976809791,2226.920150958,NaN,NaN
125,11,1,typicality,0,kitchen,sun_avszsnwsbuqfgzbn.tif,215,1.5,0,0.816666666666667,2226.924885958,2232.970978541,3,NaN,2232.976513541,2232.994895791,2233.804905333,NaN,NaN
