sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
130,1,1,usability,0,bathroom,sun_apynckhmoftszqoq.tif,157,1.5,0,1.01666666666667,1441.9882995,1445.635217208,1,NaN,1445.641104875,1445.659603583,1446.669646083,NaN,NaN
130,2,1,usability,0,bathroom,sun_avhrdrntsqrjzccq.tif,165,1.5,0,1.61666666666667,1446.686909541,1451.275815875,3,NaN,1451.281581083,1451.299973125,1452.910016083,NaN,NaN
130,3,1,usability,0,bathroom,sun_apkxzenqapsujocq.tif,155,1.5,0,1.16666666666667,1452.927019833,1455.95474,3,NaN,1455.960711333,1455.979223583,1457.1392695,NaN,NaN
130,4,1,usability,0,bathroom,sun_aoybiabnpadelefl.tif,151,1.5,0,0.983333333333333,1457.148034583,1460.76284,5,NaN,1460.768909875,1460.78722125,1461.763893125,NaN,NaN
130,5,1,usability,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,0.783333333333333,1461.770490791,1464.963896083,6,NaN,1464.970191125,1464.988493916,1465.765166208,NaN,NaN
130,6,1,usability,0,bathroom,sun_ambriybtogmepttm.tif,146,1.5,0,0.816666666666667,1465.770322125,1468.630712541,2,NaN,1468.660021583,1468.682817166,1469.492822416,NaN,NaN
130,7,1,usability,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,1.1,1469.497559166,1472.510897958,6,NaN,1472.527593708,1472.547691791,1473.641069791,NaN,NaN
130,8,1,usability,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,1.65,1473.650075541,1476.819581083,3,NaN,1476.825281,1476.843687708,1478.487058625,NaN,NaN
130,9,1,usability,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,1.13333333333333,1478.505955375,1482.267088708,5,NaN,1482.273358833,1482.291844333,1483.418557583,NaN,NaN
130,10,1,usability,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.766666666666667,1483.427821125,1486.899056208,5,NaN,1486.904991333,1486.923404916,1487.683410166,NaN,NaN
130,11,1,usability,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,1.25,1487.6885355,1490.492601833,5,NaN,1490.522285375,1490.5448915,1491.788277916,NaN,NaN
130,12,1,usability,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.5,1491.805496,1494.602956166,4,NaN,1494.608878041,1494.627389541,1496.12077375,NaN,NaN
130,13,1,usability,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,1.56666666666667,1496.139033166,1499.3231045,4,NaN,1499.328869666,1499.34724575,1500.907282291,NaN,NaN
130,14,1,usability,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.45,1500.925000625,1504.171572125,3,NaN,1504.177267916,1504.195539625,1505.638921375,NaN,NaN
130,15,1,usability,0,bathroom,sun_atstyziqcmkahyxk.tif,161,1.5,0,1.53333333333333,1505.657549125,1509.5156035,3,NaN,1509.521349416,1509.539767041,1511.066470875,NaN,NaN
130,16,1,usability,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,0.8,1511.08067225,1514.579665,2,NaN,1514.585329958,1514.603458583,1515.396798916,NaN,NaN
130,17,1,usability,0,bathroom,sun_ahaulkltgpkeeemi.tif,136,1.5,0,0.933333333333333,1515.402912416,1518.971000791,2,NaN,1518.976904916,1518.995258625,1519.921932291,NaN,NaN
130,18,1,usability,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.75,1519.927255291,1523.563593041,4,NaN,1523.569280458,1523.587572708,1525.33095725,NaN,NaN
130,19,1,usability,0,bathroom,sun_ahijqszoswveeyji.tif,138,1.5,0,1.48333333333333,1525.348499541,1528.844518833,6,NaN,1528.858152875,1528.87758275,1530.354282458,NaN,NaN
130,20,1,usability,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.03333333333333,1530.373174,1533.3706245,7,NaN,1533.376715083,1533.395134416,1534.421839,NaN,NaN
130,21,1,usability,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,1.23333333333333,1534.435723583,1537.610603166,1,NaN,1537.616826,1537.635416916,1538.862137458,NaN,NaN
130,22,1,usability,0,bathroom,sun_axxbkopsgyouuebh.tif,168,1.5,0,1.28333333333333,1538.880115166,1542.25079875,4,NaN,1542.256653541,1542.275016125,1543.551715166,NaN,NaN
130,23,1,usability,0,bathroom,sun_ahcvzmoyaycdoftf.tif,137,1.5,0,1.66666666666667,1543.567490708,1546.275675958,7,NaN,1546.281995666,1546.300310875,1547.960363583,NaN,NaN
130,24,1,usability,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,1.26666666666667,1547.978038166,1551.171269458,5,NaN,1551.200898875,1551.224415,1552.48447025,NaN,NaN
130,25,1,usability,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,1.4,1552.502015875,1557.082835041,3,NaN,1557.088763958,1557.107074875,1558.500442333,NaN,NaN
