slide,sub1,sub2,pairID,trialID,stim1,stim2,instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preparation.started,preparation.stopped,instructions.started,startResponse.started,slide_img.started,instructions.stopped,startResponse.keys,startResponse.rt,startResponse.duration,trial.started,polygon.started,polygon_2.started,image1.started,image2.started,slider.started,question.started,slider_2.started,question_2.started,press_spce.started,trial.stopped,stim1pos,stim2pos,block,slider.response,slider.rt,slider_2.response,slider_2.rt,press_spce.keys,press_spce.rt,press_spce.duration,ITI.started,text.started,text.stopped,ITI.stopped,practice_over.started,text_2.started,space_practice_over.started,practice_over.stopped,space_practice_over.keys,space_practice_over.rt,space_practice_over.duration,breakBlocks.started,breakBlocks.stopped,startBlock.keys,participant,age,gender,session,projectID,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide1.jpg,,,,,,,0,0,0,0,,,,,,,,,0.03885830007493496,,0.0027089999057352543,0.0030800998210906982,0.009614000096917152,0.03885830007493496,0.03885830007493496,3.257854700088501,space,3.217801900114864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
instructions/Slide3.jpg,,,,,,,0,1,1,1,,,,,,,,,3.274150100070983,,,,3.258199399802834,3.274150100070983,3.274150100070983,5.240634299814701,space,1.9589209002442658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
instructions/Slide4.jpg,,,,,,,0,2,2,2,,,,,,,,,5.257016899995506,,,,5.241086899768561,5.257016899995506,5.257016899995506,7.491038899868727,space,2.2233276003971696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
instructions/Slide5.jpg,,,,,,,0,3,3,3,,,,,,,,,7.513140599709004,,,,7.491559300106019,7.513140599709004,7.513140599709004,9.591725199948996,space,2.072112100198865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,107,128,practice,7,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,0,0,6,,,,,10.027924200054258,,,,,,,,,,,9.604741199873388,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,10.027924200054258,13.091060400009155,-4.5,4.5,0,1.0,1.6192107000388205,5.0,2.440344300121069,space,3.0525043001398444,None,13.091329999733716,13.105474600102752,13.583642200101167,13.388612300157547,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,107,133,practice,9,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/133_bat.jpg,,,,,0,1,1,8,,,,,13.583642200101167,,,,,,,,,,,13.388848399743438,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,13.583642200101167,15.242073100060225,-4.5,4.5,0,3.0,0.591968800406903,2.0,1.2532590003684163,space,1.6485594999976456,None,15.24225110001862,15.25520720006898,15.740909799933434,15.540027599781752,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,108,110,practice,8,stimuli/own/bathroom/108_bat.jpg,stimuli/own/bathroom/110_bat.jpg,,,,,0,2,2,7,,,,,15.740909799933434,,,,,,,,,,,15.540871399920434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,15.740909799933434,18.142461500130594,-4.5,4.5,0,6.0,0.8863372998312116,3.0,1.7554628998041153,space,2.3890137001872063,None,18.142632899805903,18.154983299784362,18.637653599958867,18.43893209984526,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,128,108,practice,3,stimuli/own/bathroom/128_bat.jpg,stimuli/own/bathroom/108_bat.jpg,,,,,0,3,3,2,,,,,18.637653599958867,,,,,,,,,,,18.4391808998771,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,18.637653599958867,21.05820169998333,-4.5,4.5,0,2.0,0.9712865999899805,5.0,1.8173489002510905,space,2.4104852001182735,None,21.058391000144184,21.07188359973952,21.57222170010209,21.359878699760884,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,110,107,practice,4,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/107_bat.jpg,,,,,0,4,4,3,,,,,21.57222170010209,,,,,,,,,,,21.36088729975745,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,21.57222170010209,23.94194069970399,-4.5,4.5,0,5.0,0.6948161995969713,2.0,1.4537331000901759,space,2.364025100134313,None,23.942117999773473,23.955038799904287,24.432845799718052,24.23953239992261,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
,110,128,practice,2,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,5,5,1,,,,,24.432845799718052,,,,,,,,,,,24.23994609992951,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,24.432845799718052,26.57557879993692,-4.5,4.5,0,6.0,0.9444192997179925,5.0,1.873209800105542,space,2.1286480999551713,None,26.575817999895662,26.588764399755746,27.057606199756265,26.872276300098747,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h38.55.756,image_similarity_rating,2023.2.3,60.009241353817345,2024-03-04 10h39.04.090273 +0100,
