slide,sub1,sub2,pairID,trialID,stim1,stim2,instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preparation.started,preparation.stopped,instructions.started,startResponse.started,slide_img.started,instructions.stopped,startResponse.keys,startResponse.rt,startResponse.duration,trial.started,polygon.started,polygon_2.started,image1.started,image2.started,slider.started,question.started,slider_2.started,question_2.started,press_spce.started,trial.stopped,stim1pos,stim2pos,block,slider.response,slider.rt,slider_2.response,slider_2.rt,press_spce.keys,press_spce.rt,press_spce.duration,ITI.started,text.started,text.stopped,ITI.stopped,practice_over.started,text_2.started,space_practice_over.started,practice_over.stopped,space_practice_over.keys,space_practice_over.rt,space_practice_over.duration,breakBlocks.started,breakBlocks.stopped,startBlock.keys,participant,age,gender,session,projectID,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide1.jpg,,,,,,,0,0,0,0,,,,,,,,,0.06137390015646815,,0.005909599829465151,0.006406799890100956,0.012355499900877476,0.06137390015646815,0.06137390015646815,5.940336599946022,space,5.875684800092131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
instructions/Slide3.jpg,,,,,,,0,1,1,1,,,,,,,,,5.957385399844497,,,,5.940906799864024,5.957385399844497,5.957385399844497,7.3402554001659155,space,1.3717867997474968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
instructions/Slide4.jpg,,,,,,,0,2,2,2,,,,,,,,,7.356366000138223,,,,7.340660899877548,7.356366000138223,7.356366000138223,8.356749000027776,space,0.9964457000605762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
instructions/Slide5.jpg,,,,,,,0,3,3,3,,,,,,,,,8.373562899883837,,,,8.356970599852502,8.373562899883837,8.373562899883837,9.373966900166124,space,0.9963458999991417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,107,128,practice,7,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,0,0,6,,,,,9.76301629981026,,,,,,,,,,,9.379324300214648,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,9.76301629981026,13.709012700244784,-4.5,4.5,0,3.0,2.7718621999956667,5.0,3.5726997000165284,space,3.941344200167805,None,13.709308499936014,13.71915359981358,14.236777900252491,14.006718200165778,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,107,133,practice,9,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/133_bat.jpg,,,,,0,1,1,8,,,,,14.236777900252491,,,,,,,,,,,14.006891599856317,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,14.236777900252491,15.880756199825555,-4.5,4.5,0,5.0,0.8365635997615755,2.0,1.3890199000015855,space,1.6282512000761926,None,15.881142700091004,15.89031680021435,,16.185668400023133,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,108,110,practice,8,stimuli/own/bathroom/108_bat.jpg,stimuli/own/bathroom/110_bat.jpg,,,,,0,2,2,7,,,,,16.382542899809778,,,,,,,,,,,16.185849499888718,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,16.382542899809778,18.02408740017563,-4.5,4.5,0,2.0,0.6534406999126077,5.0,1.2811363004148006,space,1.6185991000384092,None,18.02434160001576,18.041724500246346,,18.33939169999212,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,128,108,practice,3,stimuli/own/bathroom/128_bat.jpg,stimuli/own/bathroom/108_bat.jpg,,,,,0,3,3,2,,,,,18.53671699995175,,,,,,,,,,,18.339573900215328,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,18.53671699995175,20.957102700136602,-4.5,4.5,0,5.0,1.3823887002654374,3.0,2.173574799671769,space,2.3996818996965885,None,20.957476600073278,20.975072599947453,,21.27285369997844,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,110,107,practice,4,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/107_bat.jpg,,,,,0,4,4,3,,,,,21.47059219982475,,,,,,,,,,,21.27309329994023,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,21.47059219982475,24.055085900239646,-4.5,4.5,0,3.0,1.663755599875003,5.0,2.275504000019282,space,2.5799413002096117,None,24.055258399806917,24.072975799907,,24.356822799891233,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
,110,128,practice,2,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,5,5,1,,,,,24.554988000076264,,,,,,,,,,,24.357012399937958,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,24.554988000076264,26.255838700104505,-4.5,4.5,0,4.0,0.7975844000466168,3.0,1.3922958998009562,space,1.6858056001365185,None,26.256018899846822,26.2729962002486,,26.556078200228512,,,,,,,,,,,200,,female,bathroom,pep_rating_own,2024-03-04_10h52.57.392,image_similarity_rating,2023.2.3,None,2024-03-04 10h53.09.920907 +0100,
