slide,sub1,sub2,pairID,trialID,stim1,stim2,instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preparation.started,preparation.stopped,instructions.started,startResponse.started,slide_img.started,instructions.stopped,startResponse.keys,startResponse.rt,startResponse.duration,trial.started,polygon.started,polygon_2.started,image1.started,image2.started,slider.started,question.started,slider_2.started,question_2.started,press_spce.started,trial.stopped,stim1pos,stim2pos,block,slider.response,slider.rt,slider_2.response,slider_2.rt,press_spce.keys,press_spce.rt,press_spce.duration,ITI.started,text.started,text.stopped,ITI.stopped,practice_over.started,text_2.started,space_practice_over.started,practice_over.stopped,space_practice_over.keys,space_practice_over.rt,space_practice_over.duration,breakBlocks.started,breakBlocks.stopped,startBlock.keys,participant,age,gender,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide1.jpg,,,,,,,0,0,0,0,,,,,,,,,0.0514643001370132,,0.0036133998073637486,0.003851999994367361,0.011040799785405397,0.0514643001370132,0.0514643001370132,1.3268202999606729,space,1.274105400312692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
instructions/Slide3.jpg,,,,,,,0,1,1,1,,,,,,,,,1.3464282997883856,,,,1.3275615000166,1.3464282997883856,1.3464282997883856,1.6916824001818895,space,0.3451387002132833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
instructions/Slide4.jpg,,,,,,,0,2,2,2,,,,,,,,,1.7081540999934077,,,,1.6919935001060367,1.7081540999934077,1.7081540999934077,2.091317899990827,space,0.3830094002187252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
instructions/Slide5.jpg,,,,,,,0,3,3,3,,,,,,,,,2.1081972997635603,,,,2.091905400156975,2.1081972997635603,2.1081972997635603,2.642122399993241,space,0.5337705002166331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,107,128,practice,7,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,0,0,6,,,,,2.827213999815285,,,,,,,,,,,2.6520047998055816,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,2.827213999815285,5.4116616998799145,-4.5,4.5,0,None,None,None,None,space,2.580098500009626,None,5.412144099827856,5.424614999908954,5.8712977999821305,5.709378799889237,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,107,133,practice,9,stimuli/own/bathroom/107_bat.jpg,stimuli/own/bathroom/133_bat.jpg,,,,,0,1,1,8,,,,,5.8712977999821305,,,,,,,,,,,5.710055800154805,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,5.8712977999821305,7.093823499977589,-4.5,4.5,0,None,None,None,None,space,1.219582799822092,None,7.094017100054771,7.107327600009739,7.55648020002991,7.392388599924743,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,108,110,practice,8,stimuli/own/bathroom/108_bat.jpg,stimuli/own/bathroom/110_bat.jpg,,,,,0,2,2,7,,,,,7.55648020002991,,,,,,,,,,,7.392972100060433,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,7.55648020002991,8.876870399806648,-4.5,4.5,0,None,None,None,None,space,1.317477300297469,None,8.877075700089335,8.890627100132406,9.35828599985689,9.176819200161844,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,128,108,practice,3,stimuli/own/bathroom/128_bat.jpg,stimuli/own/bathroom/108_bat.jpg,,,,,0,3,3,2,,,,,9.35828599985689,,,,,,,,,,,9.177500399760902,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,9.35828599985689,10.29360290011391,-4.5,4.5,0,None,None,None,None,space,0.9324580999091268,None,10.293801499996334,10.307743799872696,,10.59402919979766,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,110,107,practice,4,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/107_bat.jpg,,,,,0,4,4,3,,,,,10.764035400003195,,,,,,,,,,,10.594738500192761,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,10.764035400003195,11.493368899915367,-4.5,4.5,0,None,None,None,None,space,0.7264117999002337,None,11.493587600067258,11.50701789977029,11.959015000145882,11.79272639984265,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
,110,128,practice,2,stimuli/own/bathroom/110_bat.jpg,stimuli/own/bathroom/128_bat.jpg,,,,,0,5,5,1,,,,,11.959015000145882,,,,,,,,,,,11.793359099887311,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,11.959015000145882,12.710203499998897,-4.5,4.5,0,None,None,None,None,space,0.7482325001619756,None,12.710399500094354,12.723974999971688,13.18464899994433,13.009864199906588,,,,,,,,,,,200,,female,bathroom,2024-03-05_11h57.46.427,image_similarity_rating,2023.2.3,60.563959357350896,2024-03-05 11h57.52.563403 +0100,
