10.1236 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001975591CC70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001975591CC10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001975591CA90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000197559D4280>, multiSample=False, name='window1', numSamples=2, pos=(-1920, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1237 	EXP 	window1: mouseVisible = True
10.1237 	EXP 	window1: backgroundImage = ''
10.1237 	EXP 	window1: backgroundFit = 'none'
10.1249 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.1249 	EXP 	window1: recordFrameIntervals = False
10.2914 	EXP 	window1: recordFrameIntervals = True
10.4736 	EXP 	Screen (0) actual frame rate measured at 60.56Hz
10.4737 	EXP 	window1: recordFrameIntervals = False
10.4741 	EXP 	window1: mouseVisible = False
10.4742 	EXP 	image_similarity_rating: status = STARTED
10.4746 	EXP 	window1: mouseVisible = True
10.4973 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
10.4974 	EXP 	window1: mouseVisible = True
10.4984 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([0.225, 0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
10.4985 	EXP 	window1: mouseVisible = True
10.4994 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([-0.225,  0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
10.4994 	EXP 	window1: mouseVisible = True
