15.8471 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D0E45E1C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D0E45E1BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002D0E45E1A30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002D0EF454D90>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.8471 	EXP 	window1: mouseVisible = True
15.8472 	EXP 	window1: backgroundImage = ''
15.8472 	EXP 	window1: backgroundFit = 'none'
15.8480 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.8480 	EXP 	window1: recordFrameIntervals = False
16.0134 	EXP 	window1: recordFrameIntervals = True
16.1969 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
16.1969 	EXP 	window1: recordFrameIntervals = False
16.1970 	EXP 	window1: mouseVisible = False
18.6894 	EXP 	image_similarity_rating: status = STARTED
18.6896 	EXP 	window1: mouseVisible = True
18.7061 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
18.7062 	EXP 	window1: mouseVisible = True
18.7071 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.225,  0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
18.7072 	EXP 	window1: mouseVisible = True
18.7079 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.225, 0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
18.7079 	EXP 	window1: mouseVisible = True
18.7221 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
18.7221 	EXP 	window1: mouseVisible = True
18.7353 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
18.7398 	EXP 	window1: mouseVisible = True
18.7400 	EXP 	window1: mouseVisible = True
18.7414 	EXP 	window1: mouseVisible = True
18.7415 	EXP 	window1: mouseVisible = True
18.7418 	EXP 	window1: mouseVisible = True
18.7420 	EXP 	window1: mouseVisible = True
18.7663 	EXP 	window1: mouseVisible = True
18.7664 	EXP 	window1: mouseVisible = True
18.7667 	EXP 	window1: mouseVisible = True
18.7670 	EXP 	window1: mouseVisible = True
18.7802 	EXP 	window1: mouseVisible = True
18.7803 	EXP 	window1: mouseVisible = True
18.7806 	EXP 	window1: mouseVisible = True
18.7808 	EXP 	window1: mouseVisible = True
18.8037 	EXP 	window1: mouseVisible = True
18.8038 	EXP 	window1: mouseVisible = True
18.8040 	EXP 	window1: mouseVisible = True
18.8042 	EXP 	window1: mouseVisible = True
18.8086 	EXP 	window1: mouseVisible = True
18.8087 	EXP 	window1: mouseVisible = True
18.8090 	EXP 	window1: mouseVisible = True
18.8092 	EXP 	window1: mouseVisible = True
18.8301 	EXP 	window1: mouseVisible = True
18.8302 	EXP 	window1: mouseVisible = True
18.8304 	EXP 	window1: mouseVisible = True
18.8307 	EXP 	window1: mouseVisible = True
18.8349 	EXP 	window1: mouseVisible = True
18.8350 	EXP 	window1: mouseVisible = True
18.8352 	EXP 	window1: mouseVisible = True
18.8355 	EXP 	window1: mouseVisible = True
18.8551 	EXP 	window1: mouseVisible = True
18.8552 	EXP 	window1: mouseVisible = True
18.8555 	EXP 	window1: mouseVisible = True
18.8557 	EXP 	window1: mouseVisible = True
18.8602 	EXP 	window1: mouseVisible = True
