sub1,sub2,pairID,trialID
101,102,1,1
101,103,2,2
101,104,3,3
101,105,4,4
101,106,5,5
101,109,6,6
101,111,7,7
101,112,8,8
101,113,9,9
101,114,10,10
101,116,11,11
101,117,12,12
101,118,13,13
101,119,14,14
101,120,15,15
101,121,16,16
101,122,17,17
101,123,18,18
101,124,19,19
101,125,20,20
101,126,21,21
101,127,22,22
101,129,23,23
101,130,24,24
101,131,25,25
101,132,26,26
101,134,27,27
101,135,28,28
101,136,29,29
101,137,30,30
101,138,31,31
101,139,32,32
101,140,33,33
101,141,34,34
102,103,35,35
102,104,36,36
102,105,37,37
102,106,38,38
102,109,39,39
102,111,40,40
102,112,41,41
102,113,42,42
102,114,43,43
102,116,44,44
102,117,45,45
102,118,46,46
102,119,47,47
102,120,48,48
102,121,49,49
102,122,50,50
102,123,51,51
102,124,52,52
102,125,53,53
102,126,54,54
102,127,55,55
102,129,56,56
102,130,57,57
102,131,58,58
102,132,59,59
102,134,60,60
102,135,61,61
102,136,62,62
102,137,63,63
102,138,64,64
102,139,65,65
102,140,66,66
102,141,67,67
103,104,68,68
103,105,69,69
103,106,70,70
103,109,71,71
103,111,72,72
103,112,73,73
103,113,74,74
103,114,75,75
103,116,76,76
103,117,77,77
103,118,78,78
103,119,79,79
103,120,80,80
103,121,81,81
103,122,82,82
103,123,83,83
103,124,84,84
103,125,85,85
103,126,86,86
103,127,87,87
103,129,88,88
103,130,89,89
103,131,90,90
103,132,91,91
103,134,92,92
103,135,93,93
103,136,94,94
103,137,95,95
103,138,96,96
103,139,97,97
103,140,98,98
103,141,99,99
104,105,100,100
104,106,101,101
104,109,102,102
104,111,103,103
104,112,104,104
104,113,105,105
104,114,106,106
104,116,107,107
104,117,108,108
104,118,109,109
104,119,110,110
104,120,111,111
104,121,112,112
104,122,113,113
104,123,114,114
104,124,115,115
104,125,116,116
104,126,117,117
104,127,118,118
104,129,119,119
104,130,120,120
104,131,121,121
104,132,122,122
104,134,123,123
104,135,124,124
104,136,125,125
104,137,126,126
104,138,127,127
104,139,128,128
104,140,129,129
104,141,130,130
105,106,131,131
105,109,132,132
105,111,133,133
105,112,134,134
105,113,135,135
105,114,136,136
105,116,137,137
105,117,138,138
105,118,139,139
105,119,140,140
105,120,141,141
105,121,142,142
105,122,143,143
105,123,144,144
105,124,145,145
105,125,146,146
105,126,147,147
105,127,148,148
105,129,149,149
105,130,150,150
105,131,151,151
105,132,152,152
105,134,153,153
105,135,154,154
105,136,155,155
105,137,156,156
105,138,157,157
105,139,158,158
105,140,159,159
105,141,160,160
106,109,161,161
106,111,162,162
106,112,163,163
106,113,164,164
106,114,165,165
106,116,166,166
106,117,167,167
