13.3361 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
14.5040 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

14.5044 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe8a4e7a580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe8a4e7a520>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe8a4e7a3a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe8a4f63130>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.5046 	EXP 	window1: mouseVisible = True
14.5047 	EXP 	window1: backgroundImage = ''
14.5047 	EXP 	window1: backgroundFit = 'none'
14.5079 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.5080 	EXP 	window1: recordFrameIntervals = False
14.5879 	EXP 	window1: recordFrameIntervals = True
15.4333 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.4346 	EXP 	window1: mouseVisible = False
15.4347 	EXP 	image_similarity_rating: status = STARTED
15.4350 	EXP 	window1: mouseVisible = True
15.4721 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
15.4723 	EXP 	window1: mouseVisible = True
15.4738 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
15.4738 	EXP 	window1: mouseVisible = True
15.4751 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
15.4752 	EXP 	window1: mouseVisible = True
15.4889 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
15.4890 	EXP 	window1: mouseVisible = True
15.5011 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
15.5111 	EXP 	window1: mouseVisible = True
15.5114 	EXP 	window1: mouseVisible = True
15.5140 	EXP 	window1: mouseVisible = True
15.5141 	EXP 	window1: mouseVisible = True
15.5144 	EXP 	window1: mouseVisible = True
15.5147 	EXP 	window1: mouseVisible = True
15.5266 	EXP 	window1: mouseVisible = True
15.5267 	EXP 	window1: mouseVisible = True
15.5270 	EXP 	window1: mouseVisible = True
15.5273 	EXP 	window1: mouseVisible = True
15.5349 	EXP 	window1: mouseVisible = True
15.5350 	EXP 	window1: mouseVisible = True
15.5353 	EXP 	window1: mouseVisible = True
15.5355 	EXP 	window1: mouseVisible = True
15.5414 	EXP 	window1: mouseVisible = True
15.5415 	EXP 	window1: mouseVisible = True
15.5418 	EXP 	window1: mouseVisible = True
15.5420 	EXP 	window1: mouseVisible = True
15.5454 	EXP 	window1: mouseVisible = True
15.5455 	EXP 	window1: mouseVisible = True
15.5458 	EXP 	window1: mouseVisible = True
15.5461 	EXP 	window1: mouseVisible = True
15.5518 	EXP 	window1: mouseVisible = True
15.5519 	EXP 	window1: mouseVisible = True
15.5521 	EXP 	window1: mouseVisible = True
15.5524 	EXP 	window1: mouseVisible = True
15.5558 	EXP 	window1: mouseVisible = True
15.5559 	EXP 	window1: mouseVisible = True
15.5562 	EXP 	window1: mouseVisible = True
15.5564 	EXP 	window1: mouseVisible = True
15.5622 	EXP 	window1: mouseVisible = True
15.5622 	EXP 	window1: mouseVisible = True
15.5625 	EXP 	window1: mouseVisible = True
15.5628 	EXP 	window1: mouseVisible = True
15.5661 	EXP 	window1: mouseVisible = True
15.5662 	EXP 	window1: mouseVisible = True
15.5665 	EXP 	window1: mouseVisible = True
15.5667 	EXP 	window1: mouseVisible = True
15.5725 	EXP 	window1: mouseVisible = True
15.5726 	EXP 	window1: mouseVisible = True
15.5729 	EXP 	window1: mouseVisible = True
15.5732 	EXP 	window1: mouseVisible = True
15.5765 	EXP 	window1: mouseVisible = True
15.5766 	EXP 	window1: mouseVisible = True
15.5769 	EXP 	window1: mouseVisible = True
15.5771 	EXP 	window1: mouseVisible = True
15.5828 	EXP 	window1: mouseVisible = True
15.5829 	EXP 	window1: mouseVisible = True
15.5832 	EXP 	window1: mouseVisible = True
15.5835 	EXP 	window1: mouseVisible = True
15.5868 	EXP 	window1: mouseVisible = True
15.5869 	EXP 	window1: mouseVisible = True
15.5872 	EXP 	window1: mouseVisible = True
15.5875 	EXP 	window1: mouseVisible = True
15.5936 	EXP 	window1: mouseVisible = True
15.5937 	EXP 	window1: mouseVisible = True
15.5939 	EXP 	window1: mouseVisible = True
15.5942 	EXP 	window1: mouseVisible = True
15.5976 	EXP 	window1: mouseVisible = True
15.5998 	EXP 	window1: mouseVisible = True
15.6299 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
15.6301 	EXP 	window1: mouseVisible = True
15.6771 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
15.6791 	EXP 	window1: mouseVisible = True
15.6793 	EXP 	window1: mouseVisible = True
15.6806 	EXP 	window1: mouseVisible = True
15.6806 	EXP 	window1: mouseVisible = True
15.6809 	EXP 	window1: mouseVisible = True
15.6812 	EXP 	window1: mouseVisible = True
15.6861 	EXP 	window1: mouseVisible = True
15.6862 	EXP 	window1: mouseVisible = True
15.6865 	EXP 	window1: mouseVisible = True
15.6867 	EXP 	window1: mouseVisible = True
15.6902 	EXP 	window1: mouseVisible = True
15.6903 	EXP 	window1: mouseVisible = True
15.6905 	EXP 	window1: mouseVisible = True
15.6908 	EXP 	window1: mouseVisible = True
15.6943 	EXP 	window1: mouseVisible = True
15.6944 	EXP 	window1: mouseVisible = True
15.6947 	EXP 	window1: mouseVisible = True
15.6949 	EXP 	window1: mouseVisible = True
15.6983 	EXP 	window1: mouseVisible = True
15.6984 	EXP 	window1: mouseVisible = True
15.6987 	EXP 	window1: mouseVisible = True
15.6990 	EXP 	window1: mouseVisible = True
15.7024 	EXP 	window1: mouseVisible = True
15.7025 	EXP 	window1: mouseVisible = True
15.7028 	EXP 	window1: mouseVisible = True
15.7030 	EXP 	window1: mouseVisible = True
15.7064 	EXP 	window1: mouseVisible = True
15.7065 	EXP 	window1: mouseVisible = True
15.7067 	EXP 	window1: mouseVisible = True
15.7070 	EXP 	window1: mouseVisible = True
15.7105 	EXP 	window1: mouseVisible = True
15.7106 	EXP 	window1: mouseVisible = True
15.7108 	EXP 	window1: mouseVisible = True
15.7111 	EXP 	window1: mouseVisible = True
15.7144 	EXP 	window1: mouseVisible = True
15.7145 	EXP 	window1: mouseVisible = True
15.7148 	EXP 	window1: mouseVisible = True
15.7151 	EXP 	window1: mouseVisible = True
15.7185 	EXP 	window1: mouseVisible = True
15.7186 	EXP 	window1: mouseVisible = True
15.7188 	EXP 	window1: mouseVisible = True
15.7191 	EXP 	window1: mouseVisible = True
15.7225 	EXP 	window1: mouseVisible = True
15.7226 	EXP 	window1: mouseVisible = True
15.7228 	EXP 	window1: mouseVisible = True
15.7231 	EXP 	window1: mouseVisible = True
15.7265 	EXP 	window1: mouseVisible = True
15.7266 	EXP 	window1: mouseVisible = True
15.7269 	EXP 	window1: mouseVisible = True
15.7271 	EXP 	window1: mouseVisible = True
15.7304 	EXP 	window1: mouseVisible = True
15.7305 	EXP 	window1: mouseVisible = True
15.7308 	EXP 	window1: mouseVisible = True
15.7311 	EXP 	window1: mouseVisible = True
15.7346 	EXP 	window1: mouseVisible = True
15.7347 	EXP 	window1: mouseVisible = True
15.7350 	EXP 	window1: mouseVisible = True
15.7352 	EXP 	window1: mouseVisible = True
15.7386 	EXP 	window1: mouseVisible = True
15.7396 	EXP 	window1: mouseVisible = True
15.7691 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
15.7692 	EXP 	window1: mouseVisible = True
15.7889 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
15.7890 	EXP 	window1: mouseVisible = True
15.7946 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
15.7947 	EXP 	window1: mouseVisible = True
