40.6769 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
41.8142 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

41.8146 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb279889580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb279889520>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb2798893a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fb279973130>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
41.8148 	EXP 	window1: mouseVisible = True
41.8148 	EXP 	window1: backgroundImage = ''
41.8148 	EXP 	window1: backgroundFit = 'none'
41.8181 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
41.8181 	EXP 	window1: recordFrameIntervals = False
41.8974 	EXP 	window1: recordFrameIntervals = True
42.7310 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

42.7316 	EXP 	window1: mouseVisible = False
42.7316 	EXP 	image_similarity_rating: status = STARTED
42.7320 	EXP 	window1: mouseVisible = True
42.7629 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
42.7631 	EXP 	window1: mouseVisible = True
42.7647 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
42.7648 	EXP 	window1: mouseVisible = True
42.7662 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
42.7663 	EXP 	window1: mouseVisible = True
42.7809 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
42.7810 	EXP 	window1: mouseVisible = True
42.7937 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
42.8042 	EXP 	window1: mouseVisible = True
42.8045 	EXP 	window1: mouseVisible = True
42.8060 	EXP 	window1: mouseVisible = True
42.8061 	EXP 	window1: mouseVisible = True
42.8065 	EXP 	window1: mouseVisible = True
42.8068 	EXP 	window1: mouseVisible = True
42.8186 	EXP 	window1: mouseVisible = True
42.8187 	EXP 	window1: mouseVisible = True
42.8191 	EXP 	window1: mouseVisible = True
42.8194 	EXP 	window1: mouseVisible = True
42.8269 	EXP 	window1: mouseVisible = True
42.8270 	EXP 	window1: mouseVisible = True
42.8273 	EXP 	window1: mouseVisible = True
42.8276 	EXP 	window1: mouseVisible = True
42.8334 	EXP 	window1: mouseVisible = True
42.8335 	EXP 	window1: mouseVisible = True
42.8338 	EXP 	window1: mouseVisible = True
42.8341 	EXP 	window1: mouseVisible = True
42.8374 	EXP 	window1: mouseVisible = True
42.8375 	EXP 	window1: mouseVisible = True
42.8378 	EXP 	window1: mouseVisible = True
42.8380 	EXP 	window1: mouseVisible = True
42.8437 	EXP 	window1: mouseVisible = True
42.8438 	EXP 	window1: mouseVisible = True
42.8441 	EXP 	window1: mouseVisible = True
42.8443 	EXP 	window1: mouseVisible = True
42.8477 	EXP 	window1: mouseVisible = True
42.8477 	EXP 	window1: mouseVisible = True
42.8480 	EXP 	window1: mouseVisible = True
42.8483 	EXP 	window1: mouseVisible = True
42.8540 	EXP 	window1: mouseVisible = True
42.8541 	EXP 	window1: mouseVisible = True
42.8544 	EXP 	window1: mouseVisible = True
42.8546 	EXP 	window1: mouseVisible = True
42.8579 	EXP 	window1: mouseVisible = True
42.8580 	EXP 	window1: mouseVisible = True
42.8583 	EXP 	window1: mouseVisible = True
42.8586 	EXP 	window1: mouseVisible = True
42.8642 	EXP 	window1: mouseVisible = True
42.8643 	EXP 	window1: mouseVisible = True
42.8646 	EXP 	window1: mouseVisible = True
42.8649 	EXP 	window1: mouseVisible = True
42.8681 	EXP 	window1: mouseVisible = True
42.8682 	EXP 	window1: mouseVisible = True
42.8685 	EXP 	window1: mouseVisible = True
42.8688 	EXP 	window1: mouseVisible = True
42.8744 	EXP 	window1: mouseVisible = True
42.8745 	EXP 	window1: mouseVisible = True
42.8748 	EXP 	window1: mouseVisible = True
42.8751 	EXP 	window1: mouseVisible = True
42.8784 	EXP 	window1: mouseVisible = True
42.8785 	EXP 	window1: mouseVisible = True
42.8788 	EXP 	window1: mouseVisible = True
42.8790 	EXP 	window1: mouseVisible = True
42.8851 	EXP 	window1: mouseVisible = True
42.8852 	EXP 	window1: mouseVisible = True
42.8855 	EXP 	window1: mouseVisible = True
42.8857 	EXP 	window1: mouseVisible = True
42.8891 	EXP 	window1: mouseVisible = True
42.8903 	EXP 	window1: mouseVisible = True
42.9204 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
42.9206 	EXP 	window1: mouseVisible = True
42.9625 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
42.9645 	EXP 	window1: mouseVisible = True
42.9647 	EXP 	window1: mouseVisible = True
42.9660 	EXP 	window1: mouseVisible = True
42.9661 	EXP 	window1: mouseVisible = True
42.9663 	EXP 	window1: mouseVisible = True
42.9666 	EXP 	window1: mouseVisible = True
42.9714 	EXP 	window1: mouseVisible = True
42.9715 	EXP 	window1: mouseVisible = True
42.9718 	EXP 	window1: mouseVisible = True
42.9721 	EXP 	window1: mouseVisible = True
42.9754 	EXP 	window1: mouseVisible = True
42.9755 	EXP 	window1: mouseVisible = True
42.9758 	EXP 	window1: mouseVisible = True
42.9761 	EXP 	window1: mouseVisible = True
42.9795 	EXP 	window1: mouseVisible = True
42.9796 	EXP 	window1: mouseVisible = True
42.9799 	EXP 	window1: mouseVisible = True
42.9801 	EXP 	window1: mouseVisible = True
42.9835 	EXP 	window1: mouseVisible = True
42.9836 	EXP 	window1: mouseVisible = True
42.9838 	EXP 	window1: mouseVisible = True
42.9841 	EXP 	window1: mouseVisible = True
42.9875 	EXP 	window1: mouseVisible = True
42.9876 	EXP 	window1: mouseVisible = True
42.9879 	EXP 	window1: mouseVisible = True
42.9881 	EXP 	window1: mouseVisible = True
42.9914 	EXP 	window1: mouseVisible = True
42.9915 	EXP 	window1: mouseVisible = True
42.9917 	EXP 	window1: mouseVisible = True
42.9920 	EXP 	window1: mouseVisible = True
42.9955 	EXP 	window1: mouseVisible = True
42.9956 	EXP 	window1: mouseVisible = True
42.9958 	EXP 	window1: mouseVisible = True
42.9961 	EXP 	window1: mouseVisible = True
42.9994 	EXP 	window1: mouseVisible = True
42.9994 	EXP 	window1: mouseVisible = True
42.9997 	EXP 	window1: mouseVisible = True
43.0000 	EXP 	window1: mouseVisible = True
43.0034 	EXP 	window1: mouseVisible = True
43.0035 	EXP 	window1: mouseVisible = True
43.0037 	EXP 	window1: mouseVisible = True
43.0040 	EXP 	window1: mouseVisible = True
43.0073 	EXP 	window1: mouseVisible = True
43.0074 	EXP 	window1: mouseVisible = True
43.0077 	EXP 	window1: mouseVisible = True
43.0079 	EXP 	window1: mouseVisible = True
43.0113 	EXP 	window1: mouseVisible = True
43.0114 	EXP 	window1: mouseVisible = True
43.0117 	EXP 	window1: mouseVisible = True
43.0119 	EXP 	window1: mouseVisible = True
43.0152 	EXP 	window1: mouseVisible = True
43.0153 	EXP 	window1: mouseVisible = True
43.0155 	EXP 	window1: mouseVisible = True
43.0158 	EXP 	window1: mouseVisible = True
43.0193 	EXP 	window1: mouseVisible = True
43.0194 	EXP 	window1: mouseVisible = True
43.0197 	EXP 	window1: mouseVisible = True
43.0200 	EXP 	window1: mouseVisible = True
43.0233 	EXP 	window1: mouseVisible = True
43.0243 	EXP 	window1: mouseVisible = True
43.0540 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
43.0541 	EXP 	window1: mouseVisible = True
43.0718 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
43.0719 	EXP 	window1: mouseVisible = True
43.0738 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
43.0739 	EXP 	window1: mouseVisible = True
43.0748 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
43.0749 	EXP 	window1: mouseVisible = True
43.0822 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
43.0823 	EXP 	window1: mouseVisible = True
43.0831 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
43.0831 	EXP 	window1: mouseVisible = True
43.0841 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
43.0841 	EXP 	window1: mouseVisible = True
43.0850 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
43.0850 	EXP 	window1: mouseVisible = True
43.0956 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
43.0956 	EXP 	window1: mouseVisible = True
43.1058 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
43.1076 	EXP 	window1: mouseVisible = True
43.1079 	EXP 	window1: mouseVisible = True
43.1089 	EXP 	window1: mouseVisible = True
43.1090 	EXP 	window1: mouseVisible = True
43.1093 	EXP 	window1: mouseVisible = True
43.1096 	EXP 	window1: mouseVisible = True
43.1133 	EXP 	window1: mouseVisible = True
43.1134 	EXP 	window1: mouseVisible = True
43.1137 	EXP 	window1: mouseVisible = True
43.1140 	EXP 	window1: mouseVisible = True
43.1173 	EXP 	window1: mouseVisible = True
43.1174 	EXP 	window1: mouseVisible = True
43.1177 	EXP 	window1: mouseVisible = True
43.1179 	EXP 	window1: mouseVisible = True
43.1214 	EXP 	window1: mouseVisible = True
43.1215 	EXP 	window1: mouseVisible = True
43.1218 	EXP 	window1: mouseVisible = True
43.1221 	EXP 	window1: mouseVisible = True
43.1253 	EXP 	window1: mouseVisible = True
43.1254 	EXP 	window1: mouseVisible = True
43.1257 	EXP 	window1: mouseVisible = True
43.1259 	EXP 	window1: mouseVisible = True
43.1293 	EXP 	window1: mouseVisible = True
43.1294 	EXP 	window1: mouseVisible = True
43.1297 	EXP 	window1: mouseVisible = True
43.1299 	EXP 	window1: mouseVisible = True
43.1332 	EXP 	window1: mouseVisible = True
43.1333 	EXP 	window1: mouseVisible = True
43.1336 	EXP 	window1: mouseVisible = True
43.1339 	EXP 	window1: mouseVisible = True
43.1372 	EXP 	window1: mouseVisible = True
43.1373 	EXP 	window1: mouseVisible = True
43.1376 	EXP 	window1: mouseVisible = True
43.1379 	EXP 	window1: mouseVisible = True
43.1411 	EXP 	window1: mouseVisible = True
43.1412 	EXP 	window1: mouseVisible = True
43.1415 	EXP 	window1: mouseVisible = True
43.1417 	EXP 	window1: mouseVisible = True
43.1452 	EXP 	window1: mouseVisible = True
43.1453 	EXP 	window1: mouseVisible = True
43.1455 	EXP 	window1: mouseVisible = True
43.1458 	EXP 	window1: mouseVisible = True
43.1491 	EXP 	window1: mouseVisible = True
43.1491 	EXP 	window1: mouseVisible = True
43.1494 	EXP 	window1: mouseVisible = True
43.1497 	EXP 	window1: mouseVisible = True
43.1531 	EXP 	window1: mouseVisible = True
43.1531 	EXP 	window1: mouseVisible = True
43.1534 	EXP 	window1: mouseVisible = True
43.1537 	EXP 	window1: mouseVisible = True
43.1570 	EXP 	window1: mouseVisible = True
43.1570 	EXP 	window1: mouseVisible = True
43.1573 	EXP 	window1: mouseVisible = True
43.1576 	EXP 	window1: mouseVisible = True
43.1611 	EXP 	window1: mouseVisible = True
43.1612 	EXP 	window1: mouseVisible = True
43.1614 	EXP 	window1: mouseVisible = True
43.1617 	EXP 	window1: mouseVisible = True
43.1650 	EXP 	window1: mouseVisible = True
43.1660 	EXP 	window1: mouseVisible = True
43.1955 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
43.1957 	EXP 	window1: mouseVisible = True
43.2101 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
43.2122 	EXP 	window1: mouseVisible = True
43.2124 	EXP 	window1: mouseVisible = True
43.2136 	EXP 	window1: mouseVisible = True
43.2137 	EXP 	window1: mouseVisible = True
43.2140 	EXP 	window1: mouseVisible = True
43.2143 	EXP 	window1: mouseVisible = True
43.2183 	EXP 	window1: mouseVisible = True
43.2184 	EXP 	window1: mouseVisible = True
43.2187 	EXP 	window1: mouseVisible = True
43.2189 	EXP 	window1: mouseVisible = True
43.2223 	EXP 	window1: mouseVisible = True
43.2224 	EXP 	window1: mouseVisible = True
43.2227 	EXP 	window1: mouseVisible = True
43.2229 	EXP 	window1: mouseVisible = True
43.2638 	EXP 	window1: mouseVisible = True
43.2639 	EXP 	window1: mouseVisible = True
43.2642 	EXP 	window1: mouseVisible = True
43.2645 	EXP 	window1: mouseVisible = True
43.2681 	EXP 	window1: mouseVisible = True
43.2682 	EXP 	window1: mouseVisible = True
43.2685 	EXP 	window1: mouseVisible = True
43.2688 	EXP 	window1: mouseVisible = True
43.2723 	EXP 	window1: mouseVisible = True
43.2723 	EXP 	window1: mouseVisible = True
43.2726 	EXP 	window1: mouseVisible = True
43.2729 	EXP 	window1: mouseVisible = True
43.2763 	EXP 	window1: mouseVisible = True
43.2763 	EXP 	window1: mouseVisible = True
43.2766 	EXP 	window1: mouseVisible = True
43.2769 	EXP 	window1: mouseVisible = True
