sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask_dur,jitter
110,1,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,0.05,0.05,0.0833333333333333,1.04923542409492
110,2,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,0.05,0.05,0.0833333333333333,1.52164984344674
110,3,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,0.05,0.05,0.0833333333333333,0.83638974004206
110,4,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,0.05,0.05,0.0833333333333333,1.38398676730849
110,5,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,0.05,0.05,0.0833333333333333,1.21650789412809
110,6,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,0.05,0.05,0.0833333333333333,1.4215735253762
110,7,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,0.05,0.05,0.0833333333333333,1.01158860718137
110,8,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,0.05,0.05,0.0833333333333333,0.771596513736416
110,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,0.05,0.05,0.0833333333333333,0.954667298608482
110,10,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,0.05,0.05,0.0833333333333333,0.791994266506371
110,1,1,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,105,0.05,0.05,0.0833333333333333,1.7226008147301
110,2,1,categorization,0,kitchen,SHINEd_labelme_brsyyvweiuaazfr.tif,61,0.05,0.05,0.0833333333333333,1.51149646276654
110,3,1,categorization,0,kitchen,SHINEd_sun_agubuxuukhzyzpdp.tif,90,0.05,0.05,0.0833333333333333,1.69907971873791
110,4,1,categorization,0,bathroom,SHINEd_sun_agyqfjcfkdcydepw.tif,24,0.05,0.05,0.0833333333333333,1.18059846911495
110,5,1,categorization,0,bathroom,SHINEd_sun_awnqiikzaispgmwo.tif,56,0.05,0.05,0.0833333333333333,1.04155184064957
110,6,1,categorization,0,kitchen,SHINEd_sun_aypmqwcualkenuoe.tif,108,0.05,0.05,0.0833333333333333,0.715236108736005
110,7,1,categorization,0,bathroom,SHINEd_sun_ahijqszoswveeyji.tif,27,0.05,0.05,0.0833333333333333,0.717979741452875
110,8,1,categorization,0,bathroom,SHINEd_sun_ammzpemadwrjdfzl.tif,36,0.05,0.05,0.0833333333333333,0.726960818998599
110,9,1,categorization,0,bathroom,SHINEd_sun_apynckhmoftszqoq.tif,47,0.05,0.05,0.0833333333333333,1.38425824362654
110,10,1,categorization,0,kitchen,SHINEd_sun_aenotlpyftoioydp.tif,84,0.05,0.05,0.0833333333333333,1.04636911677492
110,11,1,categorization,0,kitchen,SHINEd_sun_afuyedyxivkhecmu.tif,87,0.05,0.05,0.0833333333333333,0.749248371237784
110,12,1,categorization,0,kitchen,SHINEd_sun_acwjdupvyjsugpay.tif,76,0.05,0.05,0.0833333333333333,1.01305141573393
110,13,1,categorization,0,bathroom,SHINEd_sun_ajlawzvmubibwbpy.tif,29,0.05,0.05,0.0833333333333333,0.982815501950436
110,14,1,categorization,0,kitchen,SHINEd_sun_aegoxogugdkwpmpj.tif,81,0.05,0.05,0.0833333333333333,0.891759296677189
110,15,1,categorization,0,bathroom,SHINEd_sun_afcoljnjfoxjtgja.tif,20,0.05,0.05,0.0833333333333333,1.48747465107611
110,16,1,categorization,0,bathroom,SHINEd_sun_amzlamotzwfkwjco.tif,37,0.05,0.05,0.0833333333333333,0.726086411546
110,17,1,categorization,0,bathroom,SHINEd_labelme_sfxiulhjbhlyiyt.tif,11,0.05,0.05,0.0833333333333333,1.65952934596544
