sub_num,trial,block,task,is_practice,category,image,texture,jitter
101,1,0,categorization,1,kitchen,kitchen_practice1.jpg,116,0.727591267879863
101,2,0,categorization,1,bathroom,bathroom_practice1.jpg,111,1.09880267140394
101,3,0,categorization,1,bathroom,bathroom_practice3.jpg,113,1.62810046665507
101,4,0,categorization,1,bathroom,bathroom_practice2.jpg,112,1.03187674254571
101,5,0,categorization,1,bathroom,bathroom_practice5.jpg,115,0.963828315355279
101,6,0,categorization,1,kitchen,kitchen_practice4.jpg,119,1.3100084747305
101,7,0,categorization,1,kitchen,kitchen_practice3.jpg,118,1.42773527098864
101,8,0,categorization,1,kitchen,kitchen_practice2.jpg,117,0.787260340674625
101,9,0,categorization,1,kitchen,kitchen_practice5.jpg,120,1.98107560657277
101,10,0,categorization,1,bathroom,bathroom_practice4.jpg,114,1.66682244405249
101,1,1,categorization,0,kitchen,sun_axaiaptzctpidqzg.jpg,58,1.58690794480925
101,2,1,categorization,0,bathroom,sun_aghyqhbptboemmoq.jpg,75,1.10363669937646
101,3,1,categorization,0,bathroom,sun_amzlamotzwfkwjco.jpg,88,1.25981290976125
101,4,1,categorization,0,kitchen,sun_awcpdzzznmweyyhv.jpg,57,1.70947236518514
101,5,1,categorization,0,kitchen,sun_axyyrmzcupyhlivc.jpg,59,0.913512297046687
101,6,1,categorization,0,kitchen,sun_acwjdupvyjsugpay.jpg,23,1.01895774673593
101,7,1,categorization,0,bathroom,sun_akbyysnpwewzraii.jpg,82,0.929430528388587
101,8,1,categorization,0,kitchen,sun_aehawpgmrlhlvcow.jpg,28,1.14472483714392
101,9,1,categorization,0,bathroom,sun_asfwthctfqerjvxr.jpg,99,0.846888046560186
101,10,1,categorization,0,bathroom,sun_afcoljnjfoxjtgja.jpg,74,1.69390945282406
101,11,1,categorization,0,kitchen,sun_aeqbewejiovwrhhc.jpg,30,1.08718918543419
101,12,1,categorization,0,kitchen,sun_ajcbwwvdlsvjyzje.jpg,44,1.25387525758676
101,13,1,categorization,0,kitchen,sun_anbcmfjhobvmedkq.jpg,50,1.56432864805818
101,14,1,categorization,0,kitchen,sun_akcjzhbbjlbogpdi.jpg,45,1.60730973998206
101,15,1,categorization,0,kitchen,sun_ahdycvpopffkzzsu.jpg,38,0.980309009774304
101,16,1,categorization,0,bathroom,sun_acsgbuurtwghzjel.jpg,71,1.90360241158374
101,17,1,categorization,0,bathroom,sun_ajlpekbqvytdohqb.jpg,81,1.66217008521016
101,18,1,categorization,0,bathroom,sun_aunuadmjocsddsrl.jpg,102,0.91089037183833
101,19,1,categorization,0,kitchen,sun_agubuxuukhzyzpdp.jpg,36,1.22212199855119
101,20,1,categorization,0,bathroom,sun_acgyywnybuveqsro.jpg,69,1.39738551315597
101,21,1,categorization,0,bathroom,sun_aoybiabnpadelefl.jpg,93,0.72539628639444
101,22,1,categorization,0,bathroom,sun_auzqhkafidnkrwmo.jpg,104,0.809761759771128
101,23,1,categorization,0,bathroom,sun_arzkwskvsrwimlwo.jpg,98,0.875329220043279
101,24,1,categorization,0,kitchen,sun_agorklincwxrdtga.jpg,35,1.80572807338803
101,25,1,categorization,0,bathroom,sun_apynckhmoftszqoq.jpg,96,1.26881096183307
101,26,1,categorization,0,bathroom,sun_apkxzenqapsujocq.jpg,95,1.62400591151819
101,27,1,categorization,0,bathroom,sun_aleqenyvunhactkl.jpg,83,0.766367541261782
101,28,1,categorization,0,bathroom,sun_awnqiikzaispgmwo.jpg,106,1.43695415374843
101,29,1,categorization,0,kitchen,sun_aapllqyqlykszopd.jpg,15,1.77830282954237
101,30,1,categorization,0,kitchen,sun_agfmsmojwptjoava.jpg,32,0.935910976833232
101,31,1,categorization,0,bathroom,sun_anlddfvefwvocyae.jpg,90,1.33359556475342
101,32,1,categorization,0,kitchen,sun_aeikbkmhphqzxdkv.jpg,29,0.968655251045735
101,33,1,categorization,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,1.44348406107717
101,34,1,categorization,0,kitchen,sun_ahywdevtimnqcsln.jpg,42,1.92215247205629
101,35,1,categorization,0,kitchen,sun_alalhpqajafvlnho.jpg,46,0.974252572700741
