sub_num,trial,block,task,is_practice,category,image,texture,duration,jitter
211,1,0,categorization,1,kitchen,kitchen_practice4.jpg,119,83,0.796875514308337
211,2,0,categorization,1,kitchen,kitchen_practice2.jpg,117,83,1.75886452798393
211,3,0,categorization,1,kitchen,kitchen_practice3.jpg,118,83,1.76565642911001
211,4,0,categorization,1,bathroom,bathroom_practice2.jpg,112,83,1.42213447010207
211,5,0,categorization,1,bathroom,bathroom_practice5.jpg,115,83,0.922556449303
211,6,0,categorization,1,bathroom,bathroom_practice3.jpg,113,83,1.37890016079031
211,7,0,categorization,1,kitchen,kitchen_practice5.jpg,120,83,1.12218060994913
211,8,0,categorization,1,kitchen,kitchen_practice1.jpg,116,83,1.26240809489834
211,9,0,categorization,1,bathroom,bathroom_practice1.jpg,111,83,1.07024153858374
211,10,0,categorization,1,bathroom,bathroom_practice4.jpg,114,83,1.5733983252772
211,1,1,categorization,0,kitchen,sun_aglwoufpxbtxqecp.jpg,34,83,1.1322684605078
211,2,1,categorization,0,kitchen,sun_aaofphpvkeqlhwgu.jpg,14,83,0.917616842405121
211,3,1,categorization,0,bathroom,sun_ausgutylgojavyoq.jpg,103,83,1.82996110953526
211,4,1,categorization,0,bathroom,sun_aunuadmjocsddsrl.jpg,102,83,1.16018445479216
211,5,1,categorization,0,bathroom,sun_apkxzenqapsujocq.jpg,95,83,1.41166651300693
211,6,1,categorization,0,kitchen,sun_adgqasybjyktddhj.jpg,25,83,1.85289993992177
211,7,1,categorization,0,bathroom,sun_axbqssteryzzlcop.jpg,107,83,0.863676826606368
211,8,1,categorization,0,kitchen,sun_agzzivivdpnawacl.jpg,37,83,0.921172047706066
211,9,1,categorization,0,kitchen,sun_agfmsmojwptjoava.jpg,32,83,0.953542829577961
211,10,1,categorization,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,83,0.762834937342625
211,11,1,categorization,0,bathroom,sun_alkosphxlxwjwgjd.jpg,85,83,0.749853450855596
211,12,1,categorization,0,kitchen,sun_aexklacwqwezaorf.jpg,31,83,0.813462487175818
211,13,1,categorization,0,bathroom,sun_abeymlrfgckenfyk.jpg,66,83,1.96880148495266
211,14,1,categorization,0,bathroom,sun_aspsyogrekjtfozg.jpg,100,83,1.72285950684958
211,15,1,categorization,0,kitchen,sun_aapllqyqlykszopd.jpg,15,83,1.29191364201961
211,16,1,categorization,0,bathroom,sun_aghyqhbptboemmoq.jpg,75,83,0.795042949697456
211,17,1,categorization,0,kitchen,sun_anbcmfjhobvmedkq.jpg,50,83,1.1218112312296
211,18,1,categorization,0,kitchen,sun_abrcnpqqhmjwekyf.jpg,20,83,0.772225045016071
211,19,1,categorization,0,bathroom,labelme_sfxiulhjbhlyiyt.jpg,61,83,1.14361244467554
211,20,1,categorization,0,kitchen,sun_ahywdevtimnqcsln.jpg,42,83,0.795836487135982
211,21,1,categorization,0,bathroom,sun_aapitsgbtktqubfy.jpg,64,83,1.39836366991971
211,22,1,categorization,0,kitchen,sun_aaxxjlsuzvqlgylf.jpg,16,83,1.03178896689533
211,23,1,categorization,0,kitchen,sun_abpwyqmlzafvklqo.jpg,19,83,0.78736750981411
211,24,1,categorization,0,bathroom,sun_ajlpekbqvytdohqb.jpg,81,83,0.84224492353418
211,25,1,categorization,0,kitchen,sun_akcjzhbbjlbogpdi.jpg,45,83,1.08660540479416
211,26,1,categorization,0,kitchen,sun_amjjdeyrggfqgmom.jpg,49,83,1.58482642118638
211,27,1,categorization,0,bathroom,sun_aqrpegblszgcoujh.jpg,97,83,1.08343619116396
211,28,1,categorization,0,bathroom,sun_agrwbmhcpmfuwmsg.jpg,76,83,1.17691253977293
211,29,1,categorization,0,kitchen,sun_alpduwskzkgbcfui.jpg,48,83,1.17506050411456
211,30,1,categorization,0,kitchen,sun_awbyfefkbcrlrqws.jpg,56,83,0.708758531489699
211,31,1,categorization,0,bathroom,sun_afcoljnjfoxjtgja.jpg,74,83,0.979918655701908
211,32,1,categorization,0,bathroom,sun_auzqhkafidnkrwmo.jpg,104,83,1.09972318455504
211,33,1,categorization,0,kitchen,sun_auticobqsbwgoppi.jpg,54,83,1.64975917523438
211,34,1,categorization,0,bathroom,sun_abtukhmkjdzyfxhr.jpg,68,83,1.10885297648729
211,35,1,categorization,0,kitchen,sun_aeikbkmhphqzxdkv.jpg,29,83,1.10880581054649
211,36,1,categorization,0,bathroom,sun_ahqjwnzgolcaoidx.jpg,79,83,1.65269393367301
211,37,1,categorization,0,bathroom,sun_aljolscmmzydegqp.jpg,84,83,1.18035265047919
211,38,1,categorization,0,bathroom,sun_apeeialkgkuxddgh.jpg,94,83,0.930822804162112
211,39,1,categorization,0,bathroom,sun_arzkwskvsrwimlwo.jpg,98,83,1.03954178921121
211,40,1,categorization,0,kitchen,sun_aggjlwcdjsjcaemh.jpg,33,83,1.40788462313871
211,41,1,categorization,0,bathroom,sun_aamrfepkhweyewue.jpg,63,83,0.875409402142362
211,42,1,categorization,0,kitchen,sun_axaiaptzctpidqzg.jpg,58,83,0.963396631635069
211,43,1,categorization,0,bathroom,sun_acsgbuurtwghzjel.jpg,71,83,1.9833794225062
211,44,1,categorization,0,bathroom,sun_asfwthctfqerjvxr.jpg,99,83,1.0115924290313
211,45,1,categorization,0,kitchen,labelme_rykdqxenmhulbdn.jpg,11,83,0.996877162906122
211,46,1,categorization,0,bathroom,sun_avhrdrntsqrjzccq.jpg,105,83,1.18690801258878
211,47,1,categorization,0,kitchen,sun_acwjdupvyjsugpay.jpg,23,83,1.27820895781756
211,48,1,categorization,0,kitchen,sun_aeqbewejiovwrhhc.jpg,30,83,1.12682002127263
211,49,1,categorization,0,kitchen,sun_acfmftudsenhrfhy.jpg,22,83,0.774544970471719
211,50,1,categorization,0,bathroom,sun_apynckhmoftszqoq.jpg,96,83,0.974062444907646
211,1,2,categorization,0,kitchen,sun_aegoxogugdkwpmpj.jpg,27,83,1.93448922930385
211,2,2,categorization,0,bathroom,sun_agyqfjcfkdcydepw.jpg,77,83,1.40378226606877
211,3,2,categorization,0,bathroom,sun_anltpptcpfdrhlks.jpg,91,83,0.742819851121451
211,4,2,categorization,0,kitchen,sun_ahdycvpopffkzzsu.jpg,38,83,1.99961810546713
211,5,2,categorization,0,bathroom,sun_aclfzgynxzxlbepz.jpg,70,83,1.4042270213881
211,6,2,categorization,0,kitchen,sun_aadbddgrdsjugojn.jpg,12,83,1.6326122859831
211,7,2,categorization,0,kitchen,sun_axyyrmzcupyhlivc.jpg,59,83,1.02539370523948
211,8,2,categorization,0,bathroom,sun_azqyogdvyhahyram.jpg,110,83,0.857129771187685
211,9,2,categorization,0,kitchen,sun_aypmqwcualkenuoe.jpg,60,83,0.92620648391091
211,10,2,categorization,0,bathroom,sun_adbqksnwuqqwdpxc.jpg,72,83,0.730566690391464
211,11,2,categorization,0,bathroom,sun_adwvsndpdsgzeste.jpg,73,83,1.23706534797004
211,12,2,categorization,0,kitchen,sun_aamedkxepzlwuxes.jpg,13,83,0.835833047570315
211,13,2,categorization,0,bathroom,sun_axxbkopsgyouuebh.jpg,108,83,1.38157179211466
211,14,2,categorization,0,kitchen,sun_auaiucuqpdausiva.jpg,53,83,0.916196335115317
211,15,2,categorization,0,bathroom,sun_anhioqovhscjqqwb.jpg,89,83,1.46408321384075
211,16,2,categorization,0,kitchen,sun_agorklincwxrdtga.jpg,35,83,1.8437115860716
211,17,2,categorization,0,bathroom,sun_axyrejkiiaqiurjk.jpg,109,83,1.27350163757596
211,18,2,categorization,0,kitchen,sun_acfluyeqiftljamq.jpg,21,83,1.56003326667806
211,19,2,categorization,0,kitchen,sun_ahpczsiumwwocjkv.jpg,40,83,1.14169691892941
211,20,2,categorization,0,kitchen,sun_aiffeoqzngslhzfi.jpg,43,83,0.836344098230677
211,21,2,categorization,0,bathroom,sun_aiskgiwswewisvph.jpg,80,83,1.54266128053451
211,22,2,categorization,0,kitchen,sun_ataniphupyuxeowc.jpg,52,83,0.759462262008762
211,23,2,categorization,0,kitchen,sun_acxkpeoqbwcxfvip.jpg,24,83,1.34670418532586
211,24,2,categorization,0,bathroom,sun_abjtwfukuwddzted.jpg,67,83,0.973701626807127
211,25,2,categorization,0,kitchen,sun_abdenxonkemggwsq.jpg,17,83,1.01678314301851
211,26,2,categorization,0,bathroom,sun_acgyywnybuveqsro.jpg,69,83,1.02308069641853
211,27,2,categorization,0,kitchen,sun_admlmbcdswaszruo.jpg,26,83,0.804502681262734
211,28,2,categorization,0,bathroom,sun_atstyziqcmkahyxk.jpg,101,83,1.12508181703987
211,29,2,categorization,0,kitchen,sun_ajcbwwvdlsvjyzje.jpg,44,83,0.856882468075657
211,30,2,categorization,0,bathroom,sun_aavhrsfjbserjtht.jpg,65,83,1.37002933498987
211,31,2,categorization,0,bathroom,sun_anlddfvefwvocyae.jpg,90,83,1.28987235606585
211,32,2,categorization,0,kitchen,sun_ahljzhgcdpomplvg.jpg,39,83,1.1276651624487
211,33,2,categorization,0,bathroom,sun_amzlamotzwfkwjco.jpg,88,83,1.23939864463444
211,34,2,categorization,0,kitchen,sun_aehawpgmrlhlvcow.jpg,28,83,0.876638278077268
211,35,2,categorization,0,bathroom,sun_aleqenyvunhactkl.jpg,83,83,0.949087590584408
211,36,2,categorization,0,kitchen,sun_abdxkyyxwfskuaqb.jpg,18,83,1.17382856925351
211,37,2,categorization,0,bathroom,sun_aoybiabnpadelefl.jpg,93,83,1.21832847714466
211,38,2,categorization,0,bathroom,sun_ambriybtogmepttm.jpg,86,83,1.98589294434857
211,39,2,categorization,0,kitchen,sun_awcpdzzznmweyyhv.jpg,57,83,0.721891201903602
211,40,2,categorization,0,kitchen,sun_ahvszpwjtodgwusx.jpg,41,83,1.84703466400971
211,41,2,categorization,0,bathroom,sun_ammzpemadwrjdfzl.jpg,87,83,1.81411330593247
211,42,2,categorization,0,kitchen,sun_alalhpqajafvlnho.jpg,46,83,0.806149596273418
211,43,2,categorization,0,kitchen,sun_aqeaevwwwjoqhzvl.jpg,51,83,0.966400022715143
211,44,2,categorization,0,kitchen,sun_avszsnwsbuqfgzbn.jpg,55,83,1.04792663817035
211,45,2,categorization,0,bathroom,labelme_xbsnnlvmskdknsb.jpg,62,83,1.3865800297613
211,46,2,categorization,0,bathroom,sun_awnqiikzaispgmwo.jpg,106,83,1.2008720954167
211,47,2,categorization,0,bathroom,sun_aovflwamhlwzwvxs.jpg,92,83,1.59357854416314
211,48,2,categorization,0,bathroom,sun_ahcvzmoyaycdoftf.jpg,78,83,1.19035434880579
211,49,2,categorization,0,bathroom,sun_akbyysnpwewzraii.jpg,82,83,1.22397301610503
211,50,2,categorization,0,kitchen,sun_agubuxuukhzyzpdp.jpg,36,83,0.717905975114374
211,1,3,categorization,0,kitchen,sun_aglwoufpxbtxqecp.jpg,34,83,1.87969333662346
211,2,3,categorization,0,kitchen,sun_aaofphpvkeqlhwgu.jpg,14,83,1.0876361714135
211,3,3,categorization,0,bathroom,sun_ausgutylgojavyoq.jpg,103,83,1.61134630232165
211,4,3,categorization,0,bathroom,sun_aunuadmjocsddsrl.jpg,102,83,1.27034636913605
211,5,3,categorization,0,bathroom,sun_apkxzenqapsujocq.jpg,95,83,1.28856023216149
211,6,3,categorization,0,kitchen,sun_adgqasybjyktddhj.jpg,25,83,1.3437233925649
211,7,3,categorization,0,bathroom,sun_axbqssteryzzlcop.jpg,107,83,1.19219846761377
211,8,3,categorization,0,kitchen,sun_agzzivivdpnawacl.jpg,37,83,1.1243198902064
211,9,3,categorization,0,kitchen,sun_agfmsmojwptjoava.jpg,32,83,1.47185276205825
211,10,3,categorization,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,83,0.815271983229984
